dateCrawled,name,seller,offerType,price,abtest,vehicleType,yearOfRegistration,gearbox,powerPS,model,kilometer,monthOfRegistration,fuelType,brand,notRepairedDamage,dateCreated,postalCode,lastSeen,yearOfCreation,yearCrawled,monthOfCreation,monthCrawled,yearsOld,monthsOld
2016-03-30 17:55:01,Dacia_Sandero_1_4_MPI___TOP__TÜV_neu,privat,Offer,2500,control,Other,2016,manuell,75,sandero,150000,Jan,,dacia,No,2016-03-30 00:00:00,35260,2016-04-01 12:18:35,2016,2016,March,March,0,11
2016-03-08 11:47:22,Dacia_Duster,privat,Offer,30,control,Other,2010,Unspecified,0,duster,40000,Jan,,dacia,Other,2016-03-08 00:00:00,37359,2016-03-19 21:46:01,2016,2016,March,March,6,11
2016-03-21 20:58:04,Dacia_Sandero_1.4_benzina,privat,Offer,1750,control,Other,2016,manuell,75,sandero,70000,Sep,,dacia,Yes,2016-03-21 00:00:00,99089,2016-03-21 20:58:04,2016,2016,March,March,0,3
2016-03-20 10:59:12,Dacia_Solenza,privat,Offer,120,control,Other,2016,manuell,0,Other,150000,Jan,Gasoline,dacia,Other,2016-03-20 00:00:00,56412,2016-03-20 11:45:05,2016,2016,March,March,0,11
2016-03-15 14:57:47,Dacia_Sandero_MPI_1.4_in_Rot_TOP_Zustand,privat,Offer,3200,control,Other,2009,manuell,0,sandero,70000,Oct,Gasoline,dacia,Other,2016-03-15 00:00:00,33098,2016-04-06 06:45:39,2016,2016,March,March,7,2
2016-03-22 17:38:15,Zu_verkaufen,privat,Offer,3000,control,Other,2009,manuell,0,Other,60000,Apr,Gasoline,dacia,Other,2016-03-22 00:00:00,6886,2016-03-28 07:47:23,2016,2016,March,March,7,8
2016-03-08 18:56:03,Sehr_gute_auto_!,privat,Offer,1500,test,Other,2016,manuell,75,logan,60000,Sep,,dacia,No,2016-03-08 00:00:00,78054,2016-04-05 13:18:51,2016,2016,March,March,0,3
2016-03-31 22:40:59,Dacia_logan_Top_Zustand!!!,privat,Offer,2350,test,Other,2016,manuell,75,logan,150000,Aug,,dacia,Other,2016-03-31 00:00:00,12057,2016-04-06 18:17:45,2016,2016,March,March,0,4
2016-03-16 00:58:16,Sandero_Servo__Zv__Ambiance_Unfall,privat,Offer,1750,test,Other,2016,Unspecified,75,sandero,80000,May,Gasoline,dacia,Yes,2016-03-15 00:00:00,53119,2016-04-06 00:46:12,2016,2016,March,March,0,7
2016-03-26 20:37:20,Auf_der_SUCHE_nach_einem_DUSTER_AUF_RATEN,privat,Offer,0,control,Other,2010,Unspecified,0,duster,5000,Jan,,dacia,Other,2016-03-26 00:00:00,35423,2016-03-26 21:43:37,2016,2016,March,March,6,11
2016-04-01 12:46:43,Dacia_sandero,privat,Offer,2400,test,Other,2009,manuell,0,sandero,30000,Jun,Gasoline,dacia,No,2016-04-01 00:00:00,21029,2016-04-01 12:46:43,2016,2016,April,April,7,6
2016-03-12 11:58:03,Dacia_Sport_Coupe_Oldtimer,privat,Offer,2999,test,Other,1990,manuell,75,andere,100000,Jan,Gasoline,dacia,Other,2016-03-12 00:00:00,2708,2016-04-06 07:16:46,2016,2016,March,March,26,11
2016-03-25 12:55:36,Dacia_Logan_Mcv,privat,Offer,2500,test,Other,2007,manuell,75,logan,90000,Jan,Gasoline,dacia,No,2016-03-25 00:00:00,6526,2016-04-06 14:44:52,2016,2016,March,March,9,11
2016-03-16 13:38:55,Dacia_sandero,privat,Offer,1699,control,Other,2009,Unspecified,75,sandero,150000,Jan,Gasoline,dacia,Other,2016-03-16 00:00:00,44145,2016-03-16 13:38:55,2016,2016,March,March,7,11
2016-03-07 04:53:08,Biete_mein_Auto_als_Werbeflaeche___kein_Verkauf!,privat,Offer,0,test,Other,2013,Unspecified,0,sandero,50000,Aug,,dacia,Other,2016-03-07 00:00:00,56276,2016-04-05 18:44:43,2016,2016,March,March,3,4
2016-03-11 20:36:19,Verkaufe_Unfall_Auto,privat,Offer,1000,control,Other,2010,Unspecified,0,logan,20000,Oct,Diesel,dacia,Other,2016-03-11 00:00:00,54308,2016-03-21 12:16:38,2016,2016,March,March,6,2
