dateCrawled,name,seller,offerType,price,abtest,vehicleType,yearOfRegistration,gearbox,powerPS,model,kilometer,monthOfRegistration,fuelType,brand,notRepairedDamage,dateCreated,postalCode,lastSeen,yearOfCreation,yearCrawled,monthOfCreation,monthCrawled,yearsOld,monthsOld
2016-03-24 18:56:10,Dacia_Logan_Express_1.5_dCi_LKW_Zulassung___HAGEL__,privat,Offer,4790,test,bus,2010,manuell,86,logan,70000,Oct,Diesel,dacia,Yes,2016-03-24 00:00:00,72766,2016-04-07 13:15:55,2016,2016,March,March,6,2
2016-03-09 14:39:11,Dacia_Dokker_Sce_100,privat,Offer,600,test,bus,2014,manuell,61,andere,10000,Aug,Gasoline,dacia,Yes,2016-03-09 00:00:00,27777,2016-03-17 10:46:00,2016,2016,March,March,2,4
2016-04-04 20:48:55,Dacia_Lodgy_dCi_110_eco2_Prestige_7_Sitzer_Navi_Klima,privat,Offer,11750,control,bus,2013,manuell,107,lodgy,70000,Apr,Diesel,dacia,No,2016-04-04 00:00:00,26419,2016-04-06 23:17:47,2016,2016,April,April,3,8
2016-03-13 02:36:18,Dacia_Logan,privat,Offer,3000,control,bus,2012,manuell,84,logan,80000,Jul,Gasoline,dacia,No,2016-03-13 00:00:00,23715,2016-03-13 07:37:19,2016,2016,March,March,4,5
2016-04-01 08:52:49,Dacia_Lodgy_dCi_110__Klima__Navi__Sitzhz.__Tempomat,privat,Offer,13900,test,bus,2015,manuell,107,lodgy,20000,Jan,Diesel,dacia,No,2016-04-01 00:00:00,9569,2016-04-03 05:17:06,2016,2016,April,April,1,11
2016-03-09 11:52:13,Dacia_Lodgy_Laureate_LPG_und_Benzin,privat,Offer,11800,test,bus,2014,manuell,0,lodgy,40000,Jul,Lpg,dacia,No,2016-03-09 00:00:00,30655,2016-03-20 03:45:44,2016,2016,March,March,2,5
2016-03-13 22:47:30,Dacia_Dokker_TCe_115_Ambiance,privat,Offer,8299,control,bus,2013,manuell,116,andere,20000,Apr,Gasoline,dacia,No,2016-03-13 00:00:00,85221,2016-03-20 15:19:13,2016,2016,March,March,3,8
2016-03-22 16:37:03,Dacia_Lodgy_dCi_110_Prestige,privat,Offer,10500,test,bus,2012,manuell,107,lodgy,60000,Sep,Diesel,dacia,No,2016-03-22 00:00:00,72108,2016-03-31 13:47:41,2016,2016,March,March,4,3
2016-03-17 18:54:42,Dacia_ist_verkauft!,privat,Offer,1790,control,bus,2009,manuell,86,logan,125000,Dec,Diesel,dacia,No,2016-03-17 00:00:00,72138,2016-03-17 18:54:42,2016,2016,March,March,7,0
2016-03-29 14:42:43,Dacia_Logan_1_6_16V__8_Sitzer__UNFALLWAGEN,privat,Offer,1500,test,bus,2009,manuell,105,logan,150000,Nov,Gasoline,dacia,Yes,2016-03-29 00:00:00,21423,2016-03-29 14:42:43,2016,2016,March,March,7,1
