dateCrawled,name,seller,offerType,price,abtest,vehicleType,yearOfRegistration,gearbox,powerPS,model,kilometer,monthOfRegistration,fuelType,brand,notRepairedDamage,dateCreated,postalCode,lastSeen,yearOfCreation,yearCrawled,monthOfCreation,monthCrawled,yearsOld,monthsOld
2016-04-04 02:50:24,Dacia_Sandero_1.2_16V_Laureate,privat,Offer,4300,control,kleinwagen,2010,manuell,75,sandero,60000,Jun,Gasoline,dacia,No,2016-04-03 00:00:00,12349,2016-04-06 08:16:34,2016,2016,April,April,6,6
2016-03-05 15:53:06,Dacia_Sandero_1.6_MPI_Laureate,privat,Offer,4100,control,kleinwagen,2009,manuell,87,sandero,70000,Aug,Gasoline,dacia,No,2016-03-05 00:00:00,96126,2016-04-05 17:45:58,2016,2016,March,March,7,4
2016-04-02 12:54:16,Dacia_Sandero_1.4_Winterreifen_Stahlfelge_Alufelgen_Sommerreifen,privat,Offer,2500,test,kleinwagen,2009,manuell,0,sandero,60000,May,Gasoline,dacia,No,2016-04-02 00:00:00,33818,2016-04-06 11:15:20,2016,2016,April,April,7,7
2016-04-07 12:25:38,Dacia_Sandero_1.2_16V_eco2_SUPER!!!,privat,Offer,2100,control,kleinwagen,2009,manuell,75,sandero,150000,Nov,Gasoline,dacia,No,2016-04-07 00:00:00,65197,2016-04-07 12:25:38,2016,2016,April,April,7,1
2016-03-21 13:41:13,Dacia_Sandero_1.6_MPI_Stepway__Klima,privat,Offer,4950,test,kleinwagen,2010,manuell,87,sandero,50000,May,Gasoline,dacia,No,2016-03-21 00:00:00,82380,2016-03-22 17:45:55,2016,2016,March,March,6,7
2016-03-28 01:56:54,Dacia_Sandero_1.4_MPI,privat,Offer,999,test,kleinwagen,2008,manuell,75,sandero,50000,Aug,Gasoline,dacia,Yes,2016-03-28 00:00:00,51503,2016-03-28 09:41:50,2016,2016,March,March,8,4
2016-03-06 11:53:25,Dacia_Sandero_mit_Top_Ausstattung_und_wenig_Kilometer,privat,Offer,4800,test,kleinwagen,2009,manuell,87,sandero,60000,Apr,Gasoline,dacia,No,2016-03-06 00:00:00,94113,2016-04-06 04:45:38,2016,2016,March,March,7,8
2016-03-20 13:43:10,Dacia_Sandero_1.4_MPI_Ambiance_1A_Zustand_!!,privat,Offer,2950,test,kleinwagen,2009,manuell,75,sandero,90000,Nov,Gasoline,dacia,No,2016-03-20 00:00:00,17109,2016-04-06 14:45:41,2016,2016,March,March,7,1
2016-04-02 18:48:09,Dacia_Sandero_1.2_16V,privat,Offer,4444,control,kleinwagen,2012,manuell,75,sandero,70000,Oct,Gasoline,dacia,No,2016-04-02 00:00:00,74743,2016-04-06 18:47:16,2016,2016,April,April,4,2
2016-03-08 18:37:58,Dacia_Sandero_mit_Anhaengerkupplung,privat,Offer,3000,test,kleinwagen,2008,manuell,75,sandero,150000,Oct,Gasoline,dacia,No,2016-03-08 00:00:00,16244,2016-03-16 22:18:09,2016,2016,March,March,8,2
