dateCrawled,name,seller,offerType,price,abtest,vehicleType,yearOfRegistration,gearbox,powerPS,model,kilometer,monthOfRegistration,fuelType,brand,notRepairedDamage,dateCreated,postalCode,lastSeen,yearOfCreation,yearCrawled,monthOfCreation,monthCrawled,yearsOld,monthsOld
2016-03-26 15:48:15,Dacia_Logan_MCV_1.5_dCi,privat,Offer,2800,test,kombi,2007,manuell,68,logan,150000,Jun,Diesel,dacia,No,2016-03-26 00:00:00,64859,2016-04-06 04:15:35,2016,2016,March,March,9,6
2016-04-02 22:50:42,Dacia_Logan_Kombi__Unfaller_,privat,Offer,890,test,kombi,2007,manuell,75,logan,150000,Jan,Gasoline,dacia,Yes,2016-04-02 00:00:00,93488,2016-04-02 23:43:48,2016,2016,April,April,9,11
2016-03-23 00:48:40,Dacia_Logan_MCV_1.6,privat,Offer,2700,test,kombi,2010,manuell,87,logan,150000,Nov,Gasoline,dacia,No,2016-03-22 00:00:00,41836,2016-04-07 04:17:00,2016,2016,March,March,6,1
2016-03-23 13:38:53,Dacia_Logan_MCV_1.4,privat,Offer,2400,test,kombi,2007,manuell,0,logan,125000,Nov,Gasoline,dacia,No,2016-03-23 00:00:00,52351,2016-04-05 13:45:31,2016,2016,March,March,9,1
2016-03-10 20:52:04,Dacia_Logan_MCV,privat,Offer,2990,test,kombi,2009,manuell,0,logan,150000,Jan,Gasoline,dacia,No,2016-03-10 00:00:00,66484,2016-03-19 10:16:37,2016,2016,March,March,7,11
2016-03-09 10:52:55,Dacia_Logan_aus_2009_und_62632_km,privat,Offer,3499,control,kombi,2009,manuell,75,logan,70000,May,Gasoline,dacia,No,2016-03-09 00:00:00,39118,2016-04-05 14:46:04,2016,2016,March,March,7,7
2016-04-01 10:36:58,Dacia_Logen_MCV,privat,Offer,6600,control,kombi,2015,manuell,75,Other,30000,Mar,Gasoline,dacia,No,2016-04-01 00:00:00,46459,2016-04-05 05:18:18,2016,2016,April,April,1,9
2016-03-25 09:56:01,Dacia_Logan_MVC_1_6_AHK,privat,Offer,6600,test,kombi,2008,manuell,0,Other,50000,Jan,Gasoline,dacia,Other,2016-03-25 00:00:00,26817,2016-04-06 09:46:21,2016,2016,March,March,8,11
2016-03-08 22:38:59,Dacia_Dokker,privat,Offer,7900,test,kombi,2014,manuell,83,andere,40000,Jun,Gasoline,dacia,No,2016-03-08 00:00:00,21706,2016-03-11 10:47:00,2016,2016,March,March,2,6
2016-03-19 17:52:55,Dacia_Andere,privat,Offer,5000,control,kombi,2010,manuell,87,andere,100000,Jul,Lpg,dacia,Yes,2016-03-19 00:00:00,72108,2016-04-07 04:45:06,2016,2016,March,March,6,5
2016-03-12 11:37:20,DACIA_Familienkutsche,privat,Offer,2800,test,kombi,2008,manuell,75,logan,150000,Aug,Gasoline,dacia,No,2016-03-12 00:00:00,69250,2016-03-12 11:37:20,2016,2016,March,March,8,4
2016-03-29 17:54:45,Dacia_Logan,privat,Offer,2300,control,kombi,2009,manuell,105,logan,150000,Mar,,dacia,Other,2016-03-29 00:00:00,56814,2016-03-31 11:16:27,2016,2016,March,March,7,9
2016-04-02 14:47:13,Dacia_Logan_MCV_1.5_dCi,privat,Offer,5000,test,kombi,2007,manuell,68,logan,150000,May,Diesel,dacia,No,2016-04-02 00:00:00,12435,2016-04-06 13:16:52,2016,2016,April,April,9,7
2016-03-21 15:40:49,Dacia_Logan_1_4_mpi_top_zustand!,privat,Offer,2100,control,kombi,2008,manuell,75,logan,150000,Mar,Gasoline,dacia,No,2016-03-21 00:00:00,84478,2016-04-04 12:16:55,2016,2016,March,March,8,9
2016-03-16 13:50:34,Dacia_1.6_16V_4x2_Prestige,privat,Offer,8250,control,kombi,2010,manuell,105,duster,60000,Nov,Gasoline,dacia,No,2016-03-16 00:00:00,75378,2016-03-17 11:45:57,2016,2016,March,March,6,1
2016-03-25 18:25:37,Dacia_Logan_MCV_1.5_dCi_Laureate_1.Hd+75TKM+SH+7_Sitze,privat,Offer,4500,test,kombi,2007,manuell,68,logan,80000,Jun,Diesel,dacia,No,2016-03-25 00:00:00,60322,2016-03-30 22:45:29,2016,2016,March,March,9,6
2016-03-27 19:58:06,Dacia_Logan_MCV_1.6_Ambiance,privat,Offer,4900,control,kombi,2011,manuell,84,logan,80000,Apr,Gasoline,dacia,No,2016-03-27 00:00:00,47906,2016-03-29 10:18:31,2016,2016,March,March,5,8
2016-03-22 22:48:06,Dacia_Logan_MCV_1.4,privat,Offer,900,control,kombi,2007,manuell,75,logan,150000,Apr,Gasoline,dacia,No,2016-03-22 00:00:00,96237,2016-03-22 23:40:16,2016,2016,March,March,9,8
2016-03-18 11:25:21,Dacia_Logan_MPI_1.6_LPG_Laureate,privat,Offer,7000,control,kombi,2012,manuell,84,logan,80000,Mar,Gasoline,dacia,No,2016-03-18 00:00:00,65760,2016-03-30 17:16:10,2016,2016,March,March,4,9
2016-03-21 15:36:26,Dacia_Logan_MCV_1.4_Kombi__TÜV_bis_11.2017_/104.200km_gelaufen,privat,Offer,2500,control,kombi,2007,manuell,75,logan,125000,Dec,Gasoline,dacia,Other,2016-03-21 00:00:00,27721,2016-03-22 19:48:56,2016,2016,March,March,9,0
2016-03-22 22:52:15,Dacia_Logan_1.4_Euro_4_Gruene_Plakette_8_fach_bereift_u.s.w,privat,Offer,2500,control,kombi,2009,manuell,75,logan,150000,Apr,Gasoline,dacia,No,2016-03-22 00:00:00,66538,2016-03-24 13:16:09,2016,2016,March,March,7,8
2016-03-23 17:37:25,Dacia_Logan_MCV_1.5_dCi_Laureate,privat,Offer,4895,control,kombi,2010,manuell,86,logan,90000,Apr,Diesel,dacia,No,2016-03-23 00:00:00,22880,2016-03-23 17:37:25,2016,2016,March,March,6,8
2016-03-09 10:54:24,Dacia_Logan_MCV_1.4,privat,Offer,1300,control,kombi,2008,manuell,75,logan,60000,Sep,Gasoline,dacia,Yes,2016-03-09 00:00:00,57399,2016-03-09 11:45:27,2016,2016,March,March,8,3
2016-03-30 18:44:06,Dacia_Logan_Benzin_Autogas_LPG_AHK_1_6,privat,Offer,3290,test,kombi,2009,manuell,105,logan,150000,Sep,Lpg,dacia,Yes,2016-03-30 00:00:00,48155,2016-04-07 09:45:04,2016,2016,March,March,7,3
2016-03-11 20:55:33,Dacia_Logan_MCV_1.5_dCi,privat,Offer,3900,control,kombi,2010,manuell,68,logan,125000,Sep,Diesel,dacia,No,2016-03-11 00:00:00,36163,2016-03-12 12:16:23,2016,2016,March,March,6,3
2016-03-16 12:55:58,Dacia_Logan_MCV_1.6__Laureate,privat,Offer,2750,test,kombi,2007,manuell,105,logan,150000,Dec,Gasoline,dacia,No,2016-03-16 00:00:00,30167,2016-03-21 13:46:49,2016,2016,March,March,9,0
2016-03-23 09:53:49,Dacia_Logan_MCV_1.4_Ambiance_1.Hand__Org.119tkm_!,privat,Offer,2650,test,kombi,2007,manuell,75,logan,125000,Jun,Gasoline,dacia,No,2016-03-23 00:00:00,47877,2016-03-23 09:53:49,2016,2016,March,March,9,6
