dateCrawled,name,seller,offerType,price,abtest,vehicleType,yearOfRegistration,gearbox,powerPS,model,kilometer,monthOfRegistration,fuelType,brand,notRepairedDamage,dateCreated,postalCode,lastSeen,yearOfCreation,yearCrawled,monthOfCreation,monthCrawled,yearsOld,monthsOld
2016-03-18 15:51:55,Dacia_Logan_1.4_MPI_Ambiance_Servo_Klimaanlage,privat,Offer,2800,control,limousine,2006,manuell,75,logan,50000,Dec,Gasoline,dacia,No,2016-03-18 00:00:00,13583,2016-04-05 22:18:09,2016,2016,March,March,10,0
2016-03-31 18:47:28,Dacia_Sandero_mit_TÜV_bis_02_2018_Zu_verkaufen,privat,Offer,2000,control,limousine,2009,manuell,75,sandero,150000,Feb,Gasoline,dacia,No,2016-03-31 00:00:00,26817,2016-04-04 11:46:19,2016,2016,March,March,7,10
2016-03-29 15:57:21,Dacia_Sandero_1.5_dci_unfall,privat,Offer,0,control,limousine,2009,manuell,86,sandero,150000,Jun,Diesel,dacia,Other,2016-03-29 00:00:00,64521,2016-04-06 01:44:58,2016,2016,March,March,7,6
2016-03-08 15:48:18,Dacia_Logan_1.4,privat,Offer,1100,test,limousine,2006,manuell,75,logan,150000,Apr,Gasoline,dacia,No,2016-03-08 00:00:00,81245,2016-03-08 15:48:18,2016,2016,March,March,10,8
2016-03-29 11:58:59,Dacia_Logan_1.4i_Tuning,privat,Offer,1555,test,limousine,2006,manuell,75,logan,150000,Oct,,dacia,No,2016-03-29 00:00:00,47608,2016-04-05 21:15:35,2016,2016,March,March,10,2
2016-03-19 19:54:43,Dacia_Logan,privat,Offer,2950,control,limousine,2007,manuell,87,logan,150000,Jun,Lpg,dacia,No,2016-03-19 00:00:00,50126,2016-04-07 07:45:45,2016,2016,March,March,9,6
2016-03-09 14:06:20,DACIA_SANDERO_1_4L_75_PS_BENZINER,privat,Offer,3300,test,limousine,2009,manuell,75,sandero,100000,Sep,,dacia,No,2016-03-09 00:00:00,55452,2016-03-12 07:17:24,2016,2016,March,March,7,3
2016-04-01 22:54:32,Dacia_Sandero_1.6_MPI_Stepway_LPG,privat,Offer,5250,test,limousine,2011,manuell,84,sandero,100000,Mar,Lpg,dacia,No,2016-04-01 00:00:00,72469,2016-04-03 22:45:45,2016,2016,April,April,5,9
2016-03-07 15:37:21,Dacia_Logan_1.4,privat,Offer,2149,control,limousine,2006,manuell,75,logan,90000,Dec,Gasoline,dacia,No,2016-03-07 00:00:00,54309,2016-04-07 10:45:17,2016,2016,March,March,10,0
2016-04-01 15:55:10,DACIA_Sandero_1.2_16V_ECO2_AMBIANCE_1HD_KLIMA_BLUETOOTH__eFH_ZV,privat,Offer,3640,test,limousine,2009,manuell,75,sandero,125000,Dec,Gasoline,dacia,No,2016-04-01 00:00:00,74193,2016-04-05 10:48:54,2016,2016,April,April,7,0
2016-04-04 14:36:38,Dacia_Sandero_1.6_MPI_Laureate_nur_23000_km_wie_neu_ohne_Maengel,privat,Offer,4990,test,limousine,2009,manuell,87,sandero,30000,Mar,Gasoline,dacia,No,2016-04-04 00:00:00,90587,2016-04-05 11:54:54,2016,2016,April,April,7,9
2016-04-04 18:36:17,Dacia_Logan_Limousine_Blau_TÜV_bis_Nov._2017,privat,Offer,2490,test,limousine,2006,manuell,87,logan,90000,Oct,Gasoline,dacia,No,2016-04-04 00:00:00,59077,2016-04-06 20:19:47,2016,2016,April,April,10,2
2016-03-05 18:57:46,Auto_im_guten_Zustand,privat,Offer,7300,test,limousine,2011,manuell,88,sandero,80000,Mar,Diesel,dacia,Other,2016-03-05 00:00:00,53518,2016-03-29 06:16:20,2016,2016,March,March,5,9
2016-03-16 17:55:16,Dacia_Logan_1.4_MPI_Limousine,privat,Offer,1555,control,limousine,2008,manuell,75,logan,150000,Feb,Gasoline,dacia,No,2016-03-16 00:00:00,26180,2016-03-17 16:17:40,2016,2016,March,March,8,10
2016-03-15 09:49:20,Dacia_Sandero_Lauréate_dCi_90_eco²,privat,Offer,5690,control,limousine,2011,manuell,88,sandero,100000,Nov,Diesel,dacia,No,2016-03-15 00:00:00,84371,2016-04-03 18:16:43,2016,2016,March,March,5,1
2016-03-16 08:57:49,Dacia_Sandero_Ambiance_1_4_MPI_55_kw,privat,Offer,3300,test,limousine,2009,manuell,75,sandero,100000,Apr,Gasoline,dacia,No,2016-03-16 00:00:00,29413,2016-04-06 16:44:38,2016,2016,March,March,7,8
2016-04-05 12:38:36,Dacia_Sandero_1.6_MPI_Stepway__Klima__1.Hand_!,privat,Offer,4199,test,limousine,2010,manuell,87,sandero,150000,Mar,Gasoline,dacia,No,2016-04-05 00:00:00,93309,2016-04-05 12:38:36,2016,2016,April,April,6,9
2016-04-05 21:06:16,Dacia_Sandero_1.4_MPI_Ambiance,privat,Offer,3300,control,limousine,2009,manuell,75,sandero,150000,Sep,Gasoline,dacia,No,2016-04-05 00:00:00,65321,2016-04-05 21:06:16,2016,2016,April,April,7,3
2016-03-27 13:39:40,DACIA_SANDERO_1.4_MPI_nur_20.200tkm_runter,privat,Offer,5100,test,limousine,2009,manuell,75,sandero,30000,Nov,Gasoline,dacia,Yes,2016-03-27 00:00:00,12351,2016-03-27 13:39:40,2016,2016,March,March,7,1
2016-03-23 20:48:52,Dacia_Logan_1.6_Laureate_aus_1._HAND_mit_erst_85900km,privat,Offer,2390,test,limousine,2006,manuell,87,logan,90000,Jun,Gasoline,dacia,No,2016-03-23 00:00:00,54552,2016-04-06 02:16:37,2016,2016,March,March,10,6
2016-03-31 10:36:56,DACIA_SANDERO_1.4_MPI_nur__20.200_KM,privat,Offer,5100,control,limousine,2009,manuell,75,sandero,30000,Nov,Gasoline,dacia,Yes,2016-03-31 00:00:00,12351,2016-04-06 04:15:23,2016,2016,March,March,7,1
2016-03-09 18:56:30,Dacia_Sandero_SD_Schraeckhecklimousine_blau_Benzin/LPG_Gas,privat,Offer,6000,test,limousine,2013,manuell,75,sandero,50000,Jun,Lpg,dacia,Yes,2016-03-09 00:00:00,23858,2016-04-05 12:45:55,2016,2016,March,March,3,6
2016-03-07 10:52:16,Dacia_Sandero_1_6_MPI_Laureate__AHK__1._Hand,privat,Offer,4350,test,limousine,2009,manuell,87,sandero,90000,Aug,Gasoline,dacia,No,2016-03-07 00:00:00,66978,2016-04-06 20:18:54,2016,2016,March,March,7,4
2016-03-24 22:51:37,Dacia_Sandero_1.4_MPI,privat,Offer,2499,control,limousine,2009,manuell,75,sandero,150000,Apr,Gasoline,dacia,No,2016-03-24 00:00:00,66839,2016-04-06 01:17:23,2016,2016,March,March,7,8
2016-03-18 16:37:18,Verkauft_wird_ein_Dacia_Sandero_aus_erster_Hand,privat,Offer,3500,test,limousine,2009,manuell,75,sandero,70000,Mar,Gasoline,dacia,No,2016-03-18 00:00:00,7381,2016-03-23 18:15:51,2016,2016,March,March,7,9
2016-04-04 17:42:37,DACIA_LOGAN_1.4_Laureate_Edition,privat,Offer,2450,test,limousine,2006,manuell,75,logan,125000,Aug,Gasoline,dacia,No,2016-04-04 00:00:00,89264,2016-04-06 19:17:32,2016,2016,April,April,10,4
2016-04-01 14:58:02,Dacia_Logan_1.4,privat,Offer,1200,test,limousine,2006,manuell,75,logan,50000,May,Gasoline,dacia,Yes,2016-04-01 00:00:00,4539,2016-04-07 13:17:05,2016,2016,April,April,10,7
2016-03-24 18:45:27,Dacia_Logan_MCV_Tuev_Neu.,privat,Offer,3900,test,limousine,2010,manuell,87,logan,90000,Jan,Gasoline,dacia,Other,2016-03-24 00:00:00,93413,2016-04-07 12:17:13,2016,2016,March,March,6,11
2016-04-02 09:37:34,Dacia_Logan_1.6_Laureate,privat,Offer,6300,control,limousine,2010,manuell,87,logan,40000,Nov,Gasoline,dacia,No,2016-04-02 00:00:00,74889,2016-04-06 07:15:21,2016,2016,April,April,6,1
2016-03-28 22:51:57,Dacia_Sandero_aus_1._Hand_/_Damenfahrzeug,privat,Offer,4700,control,limousine,2011,manuell,75,sandero,100000,Jan,Gasoline,dacia,No,2016-03-28 00:00:00,66663,2016-04-07 07:16:51,2016,2016,March,March,5,11
2016-03-29 15:53:16,Dacia_Sandero,privat,Offer,4700,control,limousine,2009,manuell,70,sandero,50000,Aug,Gasoline,dacia,Other,2016-03-29 00:00:00,4862,2016-04-06 01:44:49,2016,2016,March,March,7,4
2016-04-02 18:42:51,Dacia_Sandero_1.2__schwarz_matt_Basic,privat,Offer,4444,control,limousine,2012,manuell,75,sandero,70000,Oct,Gasoline,dacia,No,2016-04-02 00:00:00,74743,2016-04-06 18:17:21,2016,2016,April,April,4,2
2016-03-24 16:49:02,Dacia_Sandero_Bj._2009_70000km_TÜV_Neu,privat,Offer,2000,control,limousine,2009,manuell,75,sandero,80000,Mar,Gasoline,dacia,Other,2016-03-24 00:00:00,45138,2016-03-24 16:49:02,2016,2016,March,March,7,9
