dateCrawled,name,seller,offerType,price,abtest,vehicleType,yearOfRegistration,gearbox,powerPS,model,kilometer,monthOfRegistration,fuelType,brand,notRepairedDamage,dateCreated,postalCode,lastSeen,yearOfCreation,yearCrawled,monthOfCreation,monthCrawled,yearsOld,monthsOld
2016-03-15 14:53:15,Dacia_Duster_1.6_16V_105_4x2_Ice_mit_sportlichen_Alufelgen_8_fach,privat,Offer,9999,control,suv,2014,manuell,105,duster,30000,Jul,Gasoline,dacia,No,2016-03-15 00:00:00,72622,2016-03-19 09:16:01,2016,2016,March,March,2,5
2016-03-13 14:48:04,Duster_1_5_Diesel_2Jahre_TÜV_Bj_2010_Klima_4mal2,privat,Offer,5800,test,suv,2010,manuell,86,duster,150000,Jul,Diesel,dacia,No,2016-03-13 00:00:00,47166,2016-04-06 16:17:07,2016,2016,March,March,6,5
2016-03-11 13:25:22,Dacia_Duster_1.6_16V_4x2_Prestige__1._Hand,privat,Offer,7650,test,suv,2010,manuell,105,duster,90000,Nov,Gasoline,dacia,No,2016-03-11 00:00:00,61184,2016-04-06 13:17:14,2016,2016,March,March,6,1
2016-03-13 23:42:31,Dacia_Duster_1.6l_Prestige_Benzin/LPG_**1.Hand*Klima**,privat,Offer,7899,test,suv,2012,manuell,115,duster,125000,May,Gasoline,dacia,No,2016-03-13 00:00:00,86899,2016-03-19 13:46:09,2016,2016,March,March,4,7
2016-03-13 19:48:30,Dacia_Duster_4x2_Prestige_SCHNÄPPCHEN!!,privat,Offer,7800,control,suv,2011,manuell,107,duster,100000,Dec,Diesel,dacia,No,2016-03-13 00:00:00,50170,2016-04-06 20:36:38,2016,2016,March,March,5,0
2016-03-15 09:25:24,Dacia_Duster_dCi_110_FAP_4x2_Laureate,privat,Offer,13500,control,suv,2014,manuell,109,duster,20000,Apr,Diesel,dacia,No,2016-03-15 00:00:00,55246,2016-04-07 05:45:53,2016,2016,March,March,2,8
2016-03-05 17:54:30,Dacia_Duster_Celebration_1.6_16V_LPG_105_4x2,privat,Offer,15000,test,suv,2015,manuell,105,duster,5000,Aug,Lpg,dacia,No,2016-03-05 00:00:00,36364,2016-03-18 00:16:28,2016,2016,March,March,1,4
2016-03-07 20:52:04,Dacia_Duster__Darkster_Elia__Lpg_mit_42_Monaten_Werksgarantie,privat,Offer,19990,test,suv,2014,manuell,105,duster,30000,Aug,Lpg,dacia,Other,2016-03-07 00:00:00,25436,2016-04-05 17:45:28,2016,2016,March,March,2,4
2016-03-27 14:45:48,Dacia_Duster_Prestige__Diesel,privat,Offer,9000,control,suv,2011,Unspecified,0,duster,70000,Jan,,dacia,No,2016-03-27 00:00:00,18586,2016-03-30 19:44:56,2016,2016,March,March,5,11
2016-03-09 17:56:34,Dacia_Duster_Luxury_4x4__Sonderausstattung_,privat,Offer,15000,test,suv,2012,manuell,110,duster,125000,Sep,,dacia,No,2016-03-09 00:00:00,86987,2016-04-05 08:15:49,2016,2016,March,March,4,3
2016-03-24 14:59:10,Dacia_Duster_dCi_110_FAP_4x2_Laureate,privat,Offer,11350,test,suv,2010,manuell,107,duster,30000,Aug,Diesel,dacia,No,2016-03-24 00:00:00,73630,2016-04-07 07:45:18,2016,2016,March,March,6,4
