dateCrawled,name,seller,offerType,price,abtest,vehicleType,yearOfRegistration,gearbox,powerPS,model,kilometer,monthOfRegistration,fuelType,brand,notRepairedDamage,dateCreated,postalCode,lastSeen,yearOfCreation,yearCrawled,monthOfCreation,monthCrawled,yearsOld,monthsOld
2016-03-07 16:37:54,Cuore_L7_gesucht,privat,Offer,0,control,Other,2000,Unspecified,54,cuore,100000,Jan,,daihatsu,Other,2016-03-07 00:00:00,53520,2016-03-11 17:15:56,2016,2016,March,March,16,11
2016-03-15 17:30:11,Daihatsu_Cuore_Automatik,privat,Offer,950,control,Other,2016,automatik,0,cuore,60000,Jan,Gasoline,daihatsu,No,2016-03-15 00:00:00,64390,2016-03-16 12:40:14,2016,2016,March,March,0,11
2016-03-28 16:38:37,Dayhatsu_cuore,privat,Offer,999,test,Other,2005,manuell,57,cuore,125000,Jun,,daihatsu,Other,2016-03-28 00:00:00,58769,2016-04-01 00:47:40,2016,2016,March,March,11,6
2016-03-29 20:41:11,Daihatsu_Cuore_mit_Anhaengerkupplung,privat,Offer,1250,test,Other,2016,manuell,58,cuore,150000,Jun,Gasoline,daihatsu,Yes,2016-03-29 00:00:00,49196,2016-04-06 06:45:27,2016,2016,March,March,0,6
2016-03-10 12:57:28,Daihatsu_Feroza,privat,Offer,1500,test,Other,1995,Unspecified,0,andere,150000,Jan,,daihatsu,Other,2016-03-10 00:00:00,31020,2016-04-07 08:15:23,2016,2016,March,March,21,11
2016-03-26 21:53:18,Daihatsu_Charade_1.0,privat,Offer,250,control,Other,1995,automatik,0,charade,100000,Feb,Gasoline,daihatsu,No,2016-03-26 00:00:00,45768,2016-03-26 22:43:12,2016,2016,March,March,21,10
2016-03-21 23:52:27,Daihatsu_Cuore,privat,Offer,2300,test,Other,2005,Unspecified,0,cuore,50000,Jun,,daihatsu,Other,2016-03-21 00:00:00,47447,2016-04-05 15:17:36,2016,2016,March,March,11,6
2016-04-04 17:37:13,Daihatsu_Cuore,privat,Offer,220,test,Other,2016,manuell,56,cuore,125000,Dec,Gasoline,daihatsu,Other,2016-04-04 00:00:00,48653,2016-04-06 19:17:10,2016,2016,April,April,0,0
2016-03-23 04:04:12,Zu_verkaufen,privat,Offer,250,test,Other,2000,manuell,50,cuore,150000,Aug,,daihatsu,No,2016-03-23 00:00:00,41849,2016-03-26 00:17:10,2016,2016,March,March,16,4
2016-03-22 17:49:25,Daihatzu_sirion_nur_150_vb,privat,Offer,150,control,Other,2000,manuell,0,sirion,150000,Jan,Gasoline,daihatsu,Other,2016-03-22 00:00:00,30457,2016-03-31 16:17:24,2016,2016,March,March,16,11
2016-03-23 23:36:45,Daihatsu_coure,privat,Offer,100,control,Other,1995,Unspecified,0,cuore,150000,Jan,,daihatsu,Yes,2016-03-23 00:00:00,75417,2016-03-27 01:46:41,2016,2016,March,March,21,11
2016-04-03 13:39:10,Daihatsu_Cuore_mit_TÜV,privat,Offer,333,control,Other,2016,manuell,52,cuore,150000,Jun,Gasoline,daihatsu,Other,2016-04-03 00:00:00,46537,2016-04-05 12:18:32,2016,2016,April,April,0,6
2016-03-24 01:00:16,++Daihatsu_coure_++1.0_motor_++checkheft_gepflegt_sehr_sparsam++,privat,Offer,700,test,Other,2016,manuell,0,cuore,5000,Jul,Gasoline,daihatsu,No,2016-03-24 00:00:00,12249,2016-03-25 16:20:09,2016,2016,March,March,0,5
2016-03-08 15:47:22,Daihatsu_Sirion,privat,Offer,2500,test,Other,2016,manuell,69,sirion,150000,Dec,,daihatsu,No,2016-03-08 00:00:00,68307,2016-03-09 06:45:44,2016,2016,March,March,0,0
2016-03-15 11:51:19,Daihatsu_Move,privat,Offer,75,test,Other,2000,manuell,42,move,150000,Dec,Gasoline,daihatsu,Other,2016-03-15 00:00:00,63533,2016-03-15 11:51:19,2016,2016,March,March,16,0
2016-03-18 17:39:12,Cuore_mit_TÜV_10.2016_und_wenig_Km,privat,Offer,480,test,Other,2016,manuell,60,cuore,125000,May,,daihatsu,No,2016-03-18 00:00:00,8280,2016-04-05 22:44:39,2016,2016,March,March,0,7
2016-03-30 18:44:21,Daihatsu_cuore,privat,Offer,699,test,Other,2005,Unspecified,0,Other,125000,Jan,,daihatsu,Other,2016-03-30 00:00:00,10439,2016-04-07 09:45:05,2016,2016,March,March,11,11
2016-03-09 20:41:51,Altes_auto_TÜV_bis_07.16_daihatsu_cuore,privat,Offer,0,test,Other,2000,Unspecified,0,Other,125000,Jan,Gasoline,daihatsu,Other,2016-03-09 00:00:00,79689,2016-03-20 02:16:09,2016,2016,March,March,16,11
2016-03-17 20:54:16,Daihatsu_Cuore_L7._EZ_03/11._HU_11/16,privat,Offer,333,control,Other,2016,manuell,54,cuore,125000,Mar,,daihatsu,Other,2016-03-17 00:00:00,48165,2016-03-17 20:54:16,2016,2016,March,March,0,9
2016-03-10 07:55:46,Daihatsu._Daihatsu,privat,Offer,0,control,Other,2000,Unspecified,45,Other,100000,Jan,,daihatsu,Other,2016-03-10 00:00:00,79312,2016-04-06 04:45:07,2016,2016,March,March,16,11
2016-04-02 19:36:46,Daihatsu_zu_verkaufen,privat,Offer,450,control,Other,2000,manuell,45,cuore,150000,Aug,,daihatsu,No,2016-04-02 00:00:00,66333,2016-04-06 20:47:27,2016,2016,April,April,16,4
2016-04-02 19:49:43,Daihatsu_YRV,privat,Offer,750,control,Other,2016,manuell,0,Other,150000,Jan,,daihatsu,No,2016-04-02 00:00:00,87700,2016-04-02 19:49:43,2016,2016,April,April,0,11
2016-03-10 06:36:42,Daihatsu_mit_Tuev_bis_8/16_EURO_4,privat,Offer,650,control,Other,2016,manuell,58,sirion,150000,Apr,Gasoline,daihatsu,No,2016-03-10 00:00:00,70806,2016-03-13 02:46:01,2016,2016,March,March,0,8
2016-03-26 19:49:23,Verkaufe__sparsamen_daihatsu_coure_tuev_bis_07.2016_FAHRANFÄNGER_!,privat,Offer,590,control,Other,2016,manuell,53,cuore,150000,Jul,,daihatsu,No,2016-03-26 00:00:00,50739,2016-03-28 09:16:16,2016,2016,March,March,0,5
2016-04-03 13:54:52,Nur_heute_50,privat,Offer,50,control,Other,2000,manuell,0,Other,150000,Jan,Gasoline,daihatsu,Yes,2016-04-03 00:00:00,30457,2016-04-03 13:54:52,2016,2016,April,April,16,11
2016-03-15 09:51:26,Unfallwagen!,privat,Offer,250,control,Other,2000,manuell,0,cuore,150000,Jan,Gasoline,daihatsu,No,2016-03-15 00:00:00,51643,2016-03-21 04:48:01,2016,2016,March,March,16,11
2016-03-23 22:37:21,Daihatsu_Sirion_fuer_Bastler,privat,Offer,480,test,Other,2005,manuell,56,sirion,150000,Jan,,daihatsu,Yes,2016-03-23 00:00:00,54413,2016-04-06 13:44:53,2016,2016,March,March,11,11
2016-04-04 23:54:12,DAIHATSU_CUORE___Bj._2003___m._AHK___TÜV___08.2016_/_121300_KM,privat,Offer,500,control,Other,2005,Unspecified,0,cuore,125000,Jan,,daihatsu,Other,2016-04-04 00:00:00,51519,2016-04-07 10:15:25,2016,2016,April,April,11,11
2016-03-12 16:37:02,Daihatsu_Cuore_25_km/h_zulassung.,privat,Offer,2800,control,Other,2000,manuell,0,cuore,125000,Jan,Gasoline,daihatsu,Other,2016-03-12 00:00:00,28816,2016-03-17 18:46:44,2016,2016,March,March,16,11
2016-03-20 22:37:51,Daihatsu_rocky_f75_2_8td,privat,Offer,0,test,Other,1995,Unspecified,0,andere,100000,Jan,Diesel,daihatsu,Other,2016-03-20 00:00:00,39517,2016-03-21 00:43:26,2016,2016,March,March,21,11
2016-03-27 13:46:11,Daihatsu_Sirion_1_0_L,privat,Offer,2550,test,Other,2005,manuell,64,sirion,125000,Dec,Gasoline,daihatsu,Other,2016-03-27 00:00:00,48157,2016-04-07 09:45:05,2016,2016,March,March,11,0
2016-03-26 12:58:21,Daihatsu_charade,privat,Offer,400,control,Other,1995,automatik,0,charade,100000,Feb,Gasoline,daihatsu,No,2016-03-26 00:00:00,45768,2016-03-26 13:42:29,2016,2016,March,March,21,10
2016-03-29 22:37:33,Daihatsu_Cuore_1.0,privat,Offer,680,test,Other,2016,manuell,0,cuore,150000,Feb,,daihatsu,Other,2016-03-29 00:00:00,46240,2016-04-04 11:15:46,2016,2016,March,March,0,10
2016-03-28 20:45:13,Motorschaden_Daihatsu_Cuore,privat,Offer,500,control,Other,2016,manuell,0,cuore,80000,Jan,Gasoline,daihatsu,Yes,2016-03-28 00:00:00,74831,2016-04-01 06:16:53,2016,2016,March,March,0,11
