dateCrawled,name,seller,offerType,price,abtest,vehicleType,yearOfRegistration,gearbox,powerPS,model,kilometer,monthOfRegistration,fuelType,brand,notRepairedDamage,dateCreated,postalCode,lastSeen,yearOfCreation,yearCrawled,monthOfCreation,monthCrawled,yearsOld,monthsOld
2016-03-27 18:25:23,Daihatsu_Cuore_Rot_25km/h_gedrosselt,privat,Offer,1000,test,andere,1996,manuell,0,cuore,50000,Jan,Gasoline,daihatsu,No,2016-03-27 00:00:00,56564,2016-03-28 14:38:30,2016,2016,March,March,20,11
2016-03-23 22:58:03,Daihatsu_Piaggio_Kipper___reserviert,privat,Offer,450,test,andere,1998,manuell,65,andere,125000,Dec,Gasoline,daihatsu,No,2016-03-23 00:00:00,65321,2016-03-24 22:41:01,2016,2016,March,March,18,0
2016-04-02 16:41:18,Daihatsu_Grand_move,privat,Offer,350,control,andere,2001,automatik,0,move,150000,Aug,Gasoline,daihatsu,Other,2016-04-02 00:00:00,49809,2016-04-02 16:41:18,2016,2016,April,April,15,4
2016-03-05 15:39:10,Daihatsu_Move_5_Tuerig_Benzin_31_KW_Baujahr_1998,privat,Offer,650,control,andere,1998,manuell,40,move,100000,Jan,Gasoline,daihatsu,Other,2016-03-05 00:00:00,21745,2016-03-08 08:17:11,2016,2016,March,March,18,11
2016-03-24 12:51:25,Daihatsu_Terios,privat,Offer,3500,test,andere,2003,manuell,85,terios,150000,Jan,Gasoline,daihatsu,Other,2016-03-24 00:00:00,47051,2016-04-07 04:45:40,2016,2016,March,March,13,11
2016-03-19 23:36:35,25_km/h_Auto_Daihatsu_Cuore__Mopedauto,privat,Offer,1000,control,andere,1998,manuell,301,cuore,125000,Apr,Gasoline,daihatsu,No,2016-03-19 00:00:00,25764,2016-04-02 05:15:39,2016,2016,March,March,18,8
2016-03-20 00:56:29,Kleinster_LKW_der_Welt_Daihatsu_Midget,privat,Offer,0,control,andere,1999,automatik,32,andere,30000,Jul,Gasoline,daihatsu,No,2016-03-19 00:00:00,21279,2016-03-21 10:17:54,2016,2016,March,March,17,5
2016-03-22 15:50:29,Daihatsu__Gran_Move_Bastlerfahrzeug,privat,Offer,200,control,andere,1998,manuell,90,andere,80000,Jun,Gasoline,daihatsu,Yes,2016-03-22 00:00:00,66909,2016-04-06 05:45:42,2016,2016,March,March,18,6
2016-03-29 14:59:01,Daihatsu_Material_mit_Dachschaden,privat,Offer,2800,test,andere,2007,manuell,91,materia,150000,Oct,Gasoline,daihatsu,Yes,2016-03-29 00:00:00,90768,2016-03-29 15:39:40,2016,2016,March,March,9,2
2016-03-17 20:55:26,Daihatsu_Move_25_km/h_Auto,privat,Offer,2500,control,andere,1999,manuell,0,move,40000,Jul,Gasoline,daihatsu,Other,2016-03-17 00:00:00,59558,2016-03-17 21:40:56,2016,2016,March,March,17,5
2016-03-09 13:49:52,TUK_TUK__Motorritscha__Daihatsu__Tailand__Hingucker,privat,Offer,0,control,andere,1970,manuell,0,andere,5000,Jan,,daihatsu,Yes,2016-03-09 00:00:00,27446,2016-04-06 04:45:08,2016,2016,March,March,46,11
2016-03-23 22:51:15,Daihatsu_Piaggio_Kipper___reserviert,privat,Offer,450,test,andere,1998,manuell,65,andere,125000,Dec,Gasoline,daihatsu,No,2016-03-23 00:00:00,65321,2016-03-23 22:55:10,2016,2016,March,March,18,0
