dateCrawled,name,seller,offerType,price,abtest,vehicleType,yearOfRegistration,gearbox,powerPS,model,kilometer,monthOfRegistration,fuelType,brand,notRepairedDamage,dateCreated,postalCode,lastSeen,yearOfCreation,yearCrawled,monthOfCreation,monthCrawled,yearsOld,monthsOld
2016-03-19 16:50:52,Daihatsu_Move,privat,Offer,700,test,bus,1999,manuell,42,move,150000,Mar,Gasoline,daihatsu,No,2016-03-19 00:00:00,53562,2016-04-07 02:46:12,2016,2016,March,March,17,9
2016-03-25 17:54:19,Auto_mit_TÜV_bis_10/2016,privat,Offer,750,test,bus,1999,manuell,75,move,150000,Jun,Gasoline,daihatsu,Other,2016-03-25 00:00:00,45357,2016-04-06 23:17:14,2016,2016,March,March,17,6
2016-03-16 15:39:00,verkauf_von_daihatsu_move,privat,Offer,500,test,bus,1999,manuell,42,move,150000,Mar,Gasoline,daihatsu,Other,2016-03-16 00:00:00,94051,2016-04-06 16:44:52,2016,2016,March,March,17,9
2016-03-10 14:25:21,Daihatsu_Materia_1_5_VRC_Burgundrot_Perleffekt_Tolles_Auto,privat,Offer,4800,test,bus,2008,manuell,103,materia,125000,May,Gasoline,daihatsu,Other,2016-03-10 00:00:00,56593,2016-03-12 12:11:56,2016,2016,March,March,8,7
2016-04-04 12:47:56,Daihatsu_Gran_Move_CXL,privat,Offer,1000,control,bus,1998,manuell,90,andere,150000,Dec,Gasoline,daihatsu,No,2016-04-04 00:00:00,51061,2016-04-06 14:15:59,2016,2016,April,April,18,0
2016-03-12 14:38:53,Daihatsu_Move,privat,Offer,600,test,bus,2001,manuell,41,move,125000,Mar,Gasoline,daihatsu,Yes,2016-03-12 00:00:00,22177,2016-03-14 06:15:28,2016,2016,March,March,15,9
2016-03-27 14:55:29,Daihatsu_Gran_Move_Top,privat,Offer,700,control,bus,2002,manuell,91,andere,150000,Dec,Gasoline,daihatsu,No,2016-03-27 00:00:00,66887,2016-04-07 11:45:18,2016,2016,March,March,14,0
2016-03-28 15:43:22,Daihatsu_Move,privat,Offer,850,control,bus,2000,manuell,56,move,125000,Mar,Gasoline,daihatsu,No,2016-03-28 00:00:00,46117,2016-03-28 15:43:22,2016,2016,March,March,16,9
2016-03-31 20:47:57,Daihatsu_YRV_1.3,privat,Offer,1450,test,bus,2001,manuell,87,andere,150000,Jun,Gasoline,daihatsu,No,2016-03-31 00:00:00,21271,2016-04-06 15:46:32,2016,2016,March,March,15,6
2016-04-04 02:02:19,Daihatsu_Move_Pur,privat,Offer,999,control,bus,2002,manuell,56,move,150000,Apr,Gasoline,daihatsu,No,2016-04-04 00:00:00,51107,2016-04-06 09:16:29,2016,2016,April,April,14,8
