dateCrawled,name,seller,offerType,price,abtest,vehicleType,yearOfRegistration,gearbox,powerPS,model,kilometer,monthOfRegistration,fuelType,brand,notRepairedDamage,dateCreated,postalCode,lastSeen,yearOfCreation,yearCrawled,monthOfCreation,monthCrawled,yearsOld,monthsOld
2016-04-02 19:45:10,Daihatsu_Copen,privat,Offer,2500,control,cabrio,2006,manuell,87,andere,150000,Jul,Gasoline,daihatsu,No,2016-04-02 00:00:00,49479,2016-04-02 19:45:10,2016,2016,April,April,10,5
2016-03-05 23:57:06,Daihatsu_Copen,privat,Offer,5900,control,cabrio,2005,manuell,68,andere,60000,Jun,Gasoline,daihatsu,No,2016-03-05 00:00:00,82256,2016-03-17 00:45:05,2016,2016,March,March,11,6
2016-03-07 13:31:15,Daihatsu_Sondermodell_Daihatsu_Copen_100th_Anniversary,privat,Offer,8300,test,cabrio,2007,manuell,87,andere,40000,Oct,Gasoline,daihatsu,No,2016-03-07 00:00:00,56072,2016-03-12 14:18:15,2016,2016,March,March,9,2
2016-03-20 14:53:42,Daihatsu_Copen_Cabrio_1.Hand_Scheckheft,privat,Offer,7999,test,cabrio,2006,manuell,87,andere,50000,Jul,Gasoline,daihatsu,No,2016-03-20 00:00:00,53424,2016-04-06 18:45:03,2016,2016,March,March,10,5
2016-03-22 10:36:57,Daihatsu_Copen,privat,Offer,9699,control,cabrio,2009,manuell,87,andere,20000,Sep,Gasoline,daihatsu,No,2016-03-22 00:00:00,52068,2016-04-03 22:18:20,2016,2016,March,March,7,3
2016-03-14 17:55:13,Daihatsu_Copen,privat,Offer,8000,test,cabrio,2007,manuell,0,Other,80000,Oct,Gasoline,daihatsu,No,2016-03-14 00:00:00,58511,2016-03-26 13:44:20,2016,2016,March,March,9,2
2016-03-05 21:37:40,Daihatsu_Copen_Cabrio_1.Hand_Scheckheft,privat,Offer,8499,test,cabrio,2006,manuell,87,andere,50000,Jul,Gasoline,daihatsu,No,2016-03-05 00:00:00,53424,2016-04-05 11:50:02,2016,2016,March,March,10,5
2016-03-26 20:50:45,Daihatsu_Copen__Top_Zustand__Mike_Sanders_Versiegelung,privat,Offer,7800,control,cabrio,2007,manuell,87,andere,80000,Nov,Gasoline,daihatsu,No,2016-03-26 00:00:00,56357,2016-04-06 23:15:40,2016,2016,March,March,9,1
2016-03-08 19:25:32,Daihatsu_Copen,privat,Offer,7150,control,cabrio,2006,manuell,87,andere,60000,Aug,Gasoline,daihatsu,No,2016-03-08 00:00:00,55246,2016-03-12 20:49:37,2016,2016,March,March,10,4
2016-03-16 21:46:56,Daihatsu_Copen_Classic,privat,Offer,8500,control,cabrio,2005,manuell,68,andere,10000,Jun,Gasoline,daihatsu,No,2016-03-16 00:00:00,65934,2016-03-18 17:29:37,2016,2016,March,March,11,6
2016-03-13 12:51:45,Daihatsu_Copen,privat,Offer,7290,test,cabrio,2007,manuell,87,andere,90000,Oct,Gasoline,daihatsu,No,2016-03-13 00:00:00,52391,2016-03-19 12:17:57,2016,2016,March,March,9,2
2016-03-09 16:38:22,Daihatsu_Copen_Top_S,privat,Offer,9300,test,cabrio,2010,manuell,87,andere,80000,Jun,Gasoline,daihatsu,No,2016-03-09 00:00:00,50829,2016-04-07 03:46:33,2016,2016,March,March,6,6
2016-03-06 00:49:18,"Daihatsu_Copen_""Hello_Kitty""",privat,Offer,5900,control,cabrio,2005,manuell,68,andere,60000,Jun,Gasoline,daihatsu,No,2016-03-05 00:00:00,82256,2016-03-17 05:15:12,2016,2016,March,March,11,6
2016-03-12 09:53:51,Daihatsu_Copen,privat,Offer,9900,control,cabrio,2006,manuell,87,andere,40000,Aug,Gasoline,daihatsu,No,2016-03-12 00:00:00,73779,2016-03-14 18:17:43,2016,2016,March,March,10,4
2016-03-29 09:50:36,Daihatsu_Copen,privat,Offer,11000,test,cabrio,2010,manuell,87,andere,70000,Apr,Gasoline,daihatsu,No,2016-03-29 00:00:00,46117,2016-04-05 19:17:12,2016,2016,March,March,6,8
2016-03-20 17:52:13,Daihatsu_Copen_Roadster,privat,Offer,7000,test,cabrio,2006,manuell,87,andere,50000,Jul,Gasoline,daihatsu,Other,2016-03-20 00:00:00,26388,2016-04-07 00:46:25,2016,2016,March,March,10,5
2016-03-27 16:06:16,Daihatsu_Copen,privat,Offer,7200,test,cabrio,2006,manuell,87,andere,60000,Aug,Gasoline,daihatsu,No,2016-03-27 00:00:00,55246,2016-03-31 04:45:41,2016,2016,March,March,10,4
