dateCrawled,name,seller,offerType,price,abtest,vehicleType,yearOfRegistration,gearbox,powerPS,model,kilometer,monthOfRegistration,fuelType,brand,notRepairedDamage,dateCreated,postalCode,lastSeen,yearOfCreation,yearCrawled,monthOfCreation,monthCrawled,yearsOld,monthsOld
2016-03-08 19:55:56,Daihatsu_Cuore_1.0_Top,privat,Offer,1490,test,kleinwagen,2007,manuell,58,cuore,150000,Mar,Gasoline,daihatsu,No,2016-03-08 00:00:00,44145,2016-03-12 21:44:17,2016,2016,March,March,9,9
2016-03-14 13:44:01,Daihatsu_sabere_auto,privat,Offer,1000,test,kleinwagen,2001,manuell,56,cuore,125000,Jan,Gasoline,daihatsu,Other,2016-03-14 00:00:00,45968,2016-04-05 13:47:19,2016,2016,March,March,15,11
2016-03-09 15:52:51,Daihatsu_Sirion_1.0,privat,Offer,1999,control,kleinwagen,2007,manuell,69,sirion,150000,Dec,Gasoline,daihatsu,No,2016-03-09 00:00:00,68307,2016-03-12 15:16:39,2016,2016,March,March,9,0
2016-03-23 15:48:36,Daihatsu_Cuore_1.0_Pur,privat,Offer,899,test,kleinwagen,2001,manuell,56,cuore,150000,Jul,Gasoline,daihatsu,No,2016-03-23 00:00:00,26871,2016-03-31 02:16:42,2016,2016,March,March,15,5
2016-04-02 17:50:44,Daihatsu_Sirion,privat,Offer,3500,control,kleinwagen,2008,manuell,91,sirion,70000,Mar,Gasoline,daihatsu,Other,2016-04-02 00:00:00,33699,2016-04-06 17:17:45,2016,2016,April,April,8,9
2016-03-07 18:47:25,Daihatsu_Sirion,privat,Offer,750,control,kleinwagen,1998,manuell,56,sirion,150000,Jan,Gasoline,daihatsu,Other,2016-03-07 00:00:00,9648,2016-04-07 03:45:57,2016,2016,March,March,18,11
2016-03-30 19:52:38,Daihatsu_Sirion_Sport_Klima_ZV_Servo,privat,Offer,4000,test,kleinwagen,2007,manuell,101,sirion,150000,Sep,Gasoline,daihatsu,No,2016-03-30 00:00:00,51147,2016-04-07 11:45:44,2016,2016,March,March,9,3
2016-03-25 00:55:09,Daihatsu_Coure_Mit_Tuev,privat,Offer,650,control,kleinwagen,1997,manuell,0,cuore,90000,Jul,Gasoline,daihatsu,No,2016-03-25 00:00:00,6108,2016-04-06 06:17:37,2016,2016,March,March,19,5
2016-03-08 09:56:40,Rentner_Fahrzeug,privat,Offer,950,control,kleinwagen,1996,Unspecified,0,cuore,80000,Aug,,daihatsu,Other,2016-03-08 00:00:00,84478,2016-03-08 09:56:40,2016,2016,March,March,20,4
2016-03-09 14:53:43,Daihatsu_Sirion__115.000_km__Klima__Silber__TÜV_6/2017__Gepflegt,privat,Offer,2900,test,kleinwagen,2005,manuell,69,sirion,125000,Sep,Gasoline,daihatsu,No,2016-03-09 00:00:00,47877,2016-03-12 14:18:03,2016,2016,March,March,11,3
2016-04-02 17:37:23,Daihatsu_Sirion_1.0___KLIMA__AHK_Scheckheft_8fach_bereift,privat,Offer,2950,control,kleinwagen,2008,manuell,69,sirion,125000,Jul,Gasoline,daihatsu,No,2016-04-02 00:00:00,50259,2016-04-06 16:45:52,2016,2016,April,April,8,5
2016-03-16 12:53:44,Daihatsu_Cuore_4_Tuerig_69_PS_8_Reifen,privat,Offer,1599,test,kleinwagen,2007,manuell,69,cuore,150000,Sep,Gasoline,daihatsu,No,2016-03-16 00:00:00,41462,2016-03-16 12:53:44,2016,2016,March,March,9,3
2016-03-22 19:50:12,Daihatsu_Cuore,privat,Offer,2300,test,kleinwagen,2003,manuell,0,cuore,50000,Jun,Gasoline,daihatsu,No,2016-03-22 00:00:00,47447,2016-04-06 13:16:17,2016,2016,March,March,13,6
2016-03-09 16:55:48,Huebscher_Stadtflitzer_im_Mini_Retrolook:_Daihatsu_Trevis,privat,Offer,2999,test,kleinwagen,2007,manuell,58,andere,100000,Jul,Gasoline,daihatsu,No,2016-03-09 00:00:00,33102,2016-04-07 06:45:09,2016,2016,March,March,9,5
2016-03-09 19:46:05,Daihatsu_Cuore_Tuev_1/17_122tkm,privat,Offer,349,test,kleinwagen,1999,manuell,56,cuore,125000,Jan,,daihatsu,Other,2016-03-09 00:00:00,41751,2016-03-10 05:45:55,2016,2016,March,March,17,11
2016-03-31 07:54:24,Move_an_Bastler_abzugeben,privat,Offer,300,test,kleinwagen,1997,manuell,0,move,150000,Jun,Gasoline,daihatsu,Other,2016-03-31 00:00:00,13583,2016-04-06 02:44:35,2016,2016,March,March,19,6
2016-03-23 12:49:11,Daihatsu_Cuore,privat,Offer,600,control,kleinwagen,2000,manuell,56,cuore,150000,Jan,Gasoline,daihatsu,No,2016-03-23 00:00:00,50823,2016-04-01 17:17:51,2016,2016,March,March,16,11
2016-04-01 11:37:34,Daihatsu_Cuore,privat,Offer,1200,test,kleinwagen,2004,manuell,58,cuore,150000,Nov,Gasoline,daihatsu,No,2016-04-01 00:00:00,35394,2016-04-06 20:47:12,2016,2016,April,April,12,1
2016-04-05 11:57:32,Kleinwagen__perfekt_fuer_Fahranfaenger,privat,Offer,600,test,kleinwagen,2002,manuell,58,cuore,150000,May,Gasoline,daihatsu,No,2016-04-05 00:00:00,28757,2016-04-05 12:39:34,2016,2016,April,April,14,7
2016-03-12 01:36:23,Daihatsu_Cuore_1.0,privat,Offer,1250,test,kleinwagen,2008,Unspecified,0,cuore,150000,Jul,Gasoline,daihatsu,No,2016-03-12 00:00:00,97502,2016-03-15 11:18:01,2016,2016,March,March,8,5
2016-03-25 11:51:19,NUR_als_Teilespender_!!!_MOTOR_erst_knapp_104_000_km_runter_!!!!!,privat,Offer,120,test,kleinwagen,2000,Unspecified,0,cuore,125000,Jan,Gasoline,daihatsu,Other,2016-03-25 00:00:00,37586,2016-04-06 12:44:56,2016,2016,March,March,16,11
2016-04-03 20:44:24,Daihatsu_Cuore_1.0_Plus_Aut.,privat,Offer,850,test,kleinwagen,2003,automatik,58,cuore,90000,Oct,Gasoline,daihatsu,Yes,2016-04-03 00:00:00,85716,2016-04-03 20:44:24,2016,2016,April,April,13,2
2016-03-15 11:56:29,Daihatsu_Cuore_69PS_4_Tuerig,privat,Offer,1599,test,kleinwagen,2007,manuell,69,cuore,150000,Sep,Gasoline,daihatsu,No,2016-03-15 00:00:00,40549,2016-03-16 08:16:03,2016,2016,March,March,9,3
2016-03-23 08:55:38,Daihatsu_Cuore_1Plus,privat,Offer,1890,control,kleinwagen,2003,manuell,58,cuore,50000,Dec,Gasoline,daihatsu,No,2016-03-23 00:00:00,6366,2016-03-29 01:45:38,2016,2016,March,March,13,0
2016-03-15 10:51:14,Daihatsu_Cuore_1.0,privat,Offer,150,control,kleinwagen,2000,manuell,0,cuore,125000,Apr,,daihatsu,Other,2016-03-15 00:00:00,89134,2016-03-18 03:17:40,2016,2016,March,March,16,8
2016-03-18 09:49:43,Daihatsu_cuore_L7_Pkw_Kleinwagen_Tuev,privat,Offer,450,control,kleinwagen,2003,Unspecified,59,cuore,125000,May,Gasoline,daihatsu,No,2016-03-18 00:00:00,7552,2016-03-18 09:49:43,2016,2016,March,March,13,7
2016-03-27 07:36:20,Daihatsu_Sirion_1.3_Liter,privat,Offer,450,test,kleinwagen,2000,manuell,102,sirion,150000,Jul,Gasoline,daihatsu,Yes,2016-03-27 00:00:00,89604,2016-04-07 05:17:10,2016,2016,March,March,16,5
2016-03-19 12:58:09,Daihatsu_Cuore_zvk.,privat,Offer,900,test,kleinwagen,2004,manuell,0,cuore,150000,Mar,Gasoline,daihatsu,No,2016-03-19 00:00:00,47441,2016-03-24 07:18:39,2016,2016,March,March,12,9
2016-03-20 12:25:21,Daihatsu_Sirion_1_3L_Automatik_Unfallfahrzeug,privat,Offer,500,test,kleinwagen,2005,automatik,0,sirion,100000,Jan,Gasoline,daihatsu,Yes,2016-03-20 00:00:00,61250,2016-03-21 17:30:51,2016,2016,March,March,11,11
