dateCrawled,name,seller,offerType,price,abtest,vehicleType,yearOfRegistration,gearbox,powerPS,model,kilometer,monthOfRegistration,fuelType,brand,notRepairedDamage,dateCreated,postalCode,lastSeen,yearOfCreation,yearCrawled,monthOfCreation,monthCrawled,yearsOld,monthsOld
2016-03-14 22:54:33,Daihatsu_Materia_1.5,privat,Offer,3200,control,kombi,2007,manuell,103,materia,125000,Apr,Gasoline,daihatsu,No,2016-03-14 00:00:00,40599,2016-03-16 01:45:03,2016,2016,March,March,9,8
2016-03-06 18:42:03,Daihatsu_Gran_Move_G3_1.5_TÜV_4.2017_Scheckheft_TOP,privat,Offer,950,control,kombi,2000,manuell,90,move,150000,Oct,Gasoline,daihatsu,No,2016-03-06 00:00:00,74074,2016-03-07 18:17:53,2016,2016,March,March,16,2
2016-03-29 19:50:57,Daihatsu_Gran_Move_~~_TÜV_01/2018_~~,privat,Offer,799,control,kombi,1999,manuell,90,andere,150000,Apr,Gasoline,daihatsu,No,2016-03-29 00:00:00,63456,2016-04-02 08:19:22,2016,2016,March,March,17,8
2016-03-15 21:41:00,Daihatsu_Materia_1.5,privat,Offer,6200,control,kombi,2008,manuell,103,materia,50000,Oct,Gasoline,daihatsu,No,2016-03-15 00:00:00,45659,2016-04-07 04:46:41,2016,2016,March,March,8,2
2016-03-19 07:55:24,Daihatsu_Gran_Move_Kombi___CXS___Baujahr_1997___TÜV_03/2016,privat,Offer,0,control,kombi,1997,manuell,66,move,150000,Jul,Gasoline,daihatsu,Yes,2016-03-19 00:00:00,97520,2016-04-04 03:18:27,2016,2016,March,March,19,5
2016-03-17 11:47:53,Daihatsu_Materia_1.5,privat,Offer,4500,control,kombi,2007,manuell,103,materia,125000,Sep,Gasoline,daihatsu,No,2016-03-17 00:00:00,41462,2016-04-06 11:46:24,2016,2016,March,March,9,3
2016-03-15 00:44:31,Daihatsu_Materia_1.5_top_Zustand,privat,Offer,3200,test,kombi,2007,manuell,0,materia,125000,Jan,Gasoline,daihatsu,Other,2016-03-14 00:00:00,40591,2016-03-15 20:47:34,2016,2016,March,March,9,11
2016-03-16 15:55:11,Daihatsu_Materia_1.5,privat,Offer,3499,test,kombi,2007,manuell,103,materia,150000,Oct,Gasoline,daihatsu,No,2016-03-16 00:00:00,72469,2016-04-06 20:18:28,2016,2016,March,March,9,2
2016-03-26 23:56:17,Daihatsu_Materia_1.5_WhiteX,privat,Offer,6499,test,kombi,2008,manuell,103,materia,80000,Jun,Gasoline,daihatsu,No,2016-03-26 00:00:00,23566,2016-04-07 02:46:50,2016,2016,March,March,8,6
2016-03-07 00:39:13,Daihatsu_Materia_1.5,privat,Offer,6900,test,kombi,2008,manuell,103,materia,70000,Feb,Gasoline,daihatsu,No,2016-03-06 00:00:00,27753,2016-04-06 06:45:56,2016,2016,March,March,8,10
2016-03-29 16:53:52,Daihatsu_Materia_1.3,privat,Offer,2800,control,kombi,2007,manuell,91,materia,150000,Oct,Gasoline,daihatsu,Yes,2016-03-29 00:00:00,90768,2016-03-29 17:40:57,2016,2016,March,March,9,2
2016-03-26 11:36:56,Daihatsu_Matria_2010_tuev_neu,privat,Offer,5950,control,kombi,2010,manuell,90,Other,50000,Oct,Gasoline,daihatsu,No,2016-03-26 00:00:00,22043,2016-03-28 00:18:27,2016,2016,March,March,6,2
2016-03-20 17:48:48,Daihatsu_YRV_1.3,privat,Offer,1099,test,kombi,2000,manuell,87,move,150000,Oct,Gasoline,daihatsu,No,2016-03-20 00:00:00,32457,2016-04-07 00:45:53,2016,2016,March,March,16,2
2016-03-21 22:50:55,Daihatsu_YRV_SILVERLINE_*KLIMA**TÜV_2018*,privat,Offer,1400,control,kombi,2002,manuell,58,andere,100000,Oct,Gasoline,daihatsu,Other,2016-03-21 00:00:00,46562,2016-03-21 23:44:10,2016,2016,March,March,14,2
2016-03-19 12:52:14,Daihatsu_materia_40000_km_1Hand_Tuev_neu,privat,Offer,5950,test,kombi,2010,manuell,0,Other,40000,Oct,Gasoline,daihatsu,Other,2016-03-19 00:00:00,22043,2016-03-25 14:45:52,2016,2016,March,March,6,2
2016-04-01 19:57:39,Daihatsu_Gas_Anlage,privat,Offer,2999,control,kombi,2007,manuell,103,materia,150000,Mar,Gasoline,daihatsu,No,2016-04-01 00:00:00,55487,2016-04-05 17:27:06,2016,2016,April,April,9,9
2016-03-28 12:50:29,Daihatsu_YRV_Minivan_wie_Opel_Agila_Toyota_Verso,privat,Offer,2200,test,kombi,2005,manuell,87,andere,100000,Dec,Gasoline,daihatsu,No,2016-03-28 00:00:00,85521,2016-03-31 21:15:21,2016,2016,March,March,11,0
