dateCrawled,name,seller,offerType,price,abtest,vehicleType,yearOfRegistration,gearbox,powerPS,model,kilometer,monthOfRegistration,fuelType,brand,notRepairedDamage,dateCreated,postalCode,lastSeen,yearOfCreation,yearCrawled,monthOfCreation,monthCrawled,yearsOld,monthsOld
2016-03-20 19:58:46,Daihatsu_Sirion_Sport,privat,Offer,400,test,limousine,2000,manuell,102,sirion,150000,Aug,Gasoline,daihatsu,Yes,2016-03-20 00:00:00,16348,2016-03-20 19:58:46,2016,2016,March,March,16,4
2016-04-05 12:52:14,Daihatsu_Sirion_1.3_Sport___scheckheftgepflegt_,privat,Offer,2100,test,limousine,2002,Unspecified,107,sirion,125000,Jan,Gasoline,daihatsu,No,2016-04-05 00:00:00,7745,2016-04-05 12:52:14,2016,2016,April,April,14,11
2016-03-20 14:54:54,Daihatsu_Terios_Neu_Tuv_bis_2018,privat,Offer,2800,test,limousine,2001,manuell,0,terios,5000,Dec,Gasoline,daihatsu,No,2016-03-20 00:00:00,44866,2016-03-30 05:17:37,2016,2016,March,March,15,0
2016-03-12 22:53:54,Materia_1_5_103_PS_viele_Extras__ZUVERLÄSSIG_!,privat,Offer,5490,control,limousine,2008,manuell,103,materia,90000,Jun,Gasoline,daihatsu,Other,2016-03-12 00:00:00,28357,2016-03-24 01:46:45,2016,2016,March,March,8,6
2016-03-05 19:46:44,Daihatsu_Terios_2WD_Automatik__Limited_Super_Optik,privat,Offer,9999,test,limousine,2010,automatik,105,terios,100000,Feb,Gasoline,daihatsu,No,2016-03-05 00:00:00,41066,2016-04-07 10:45:14,2016,2016,March,March,6,10
2016-03-15 18:57:23,Daihatsu_Terios_4WD_ALLRAD_TÜV_05/2017,privat,Offer,5450,control,limousine,2006,manuell,105,terios,150000,Nov,Gasoline,daihatsu,No,2016-03-15 00:00:00,48249,2016-03-17 14:46:57,2016,2016,March,March,10,1
2016-03-19 15:55:53,Daihatsu_Applause_1100_VB,privat,Offer,950,control,limousine,1998,manuell,99,andere,150000,Sep,Gasoline,daihatsu,No,2016-03-19 00:00:00,47475,2016-04-07 00:46:45,2016,2016,March,March,18,3
2016-04-01 10:55:31,Daihatsu_Coure_Plus,privat,Offer,2190,control,limousine,2003,manuell,58,cuore,80000,Nov,Gasoline,daihatsu,No,2016-04-01 00:00:00,13583,2016-04-06 11:44:50,2016,2016,April,April,13,1
2016-03-07 20:36:24,Kleinwagen_Schnaeppchen_>Daihatsu_Sirion<_mit_Allradantrieb,privat,Offer,4350,test,limousine,2008,manuell,0,sirion,90000,May,Gasoline,daihatsu,No,2016-03-07 00:00:00,81373,2016-03-12 20:18:33,2016,2016,March,March,8,7
2016-03-08 12:47:51,Super_zustand,privat,Offer,800,test,limousine,2003,manuell,0,sirion,90000,Nov,,daihatsu,Other,2016-03-08 00:00:00,10439,2016-03-08 19:21:32,2016,2016,March,March,13,1
