dateCrawled,name,seller,offerType,price,abtest,vehicleType,yearOfRegistration,gearbox,powerPS,model,kilometer,monthOfRegistration,fuelType,brand,notRepairedDamage,dateCreated,postalCode,lastSeen,yearOfCreation,yearCrawled,monthOfCreation,monthCrawled,yearsOld,monthsOld
2016-04-01 20:50:15,Daihatsu_Feroza_2_x,privat,Offer,750,test,suv,1989,manuell,90,andere,150000,Aug,Gasoline,daihatsu,Yes,2016-04-01 00:00:00,52538,2016-04-05 18:18:45,2016,2016,April,April,27,4
2016-04-02 22:37:16,Daihatsu_feroza,privat,Offer,700,test,suv,1993,manuell,0,andere,150000,Jan,Gasoline,daihatsu,Other,2016-04-02 00:00:00,7819,2016-04-02 22:37:16,2016,2016,April,April,23,11
2016-03-25 22:54:46,Daihatsu_Terios_4WD_Top_S,privat,Offer,5900,control,suv,2006,manuell,105,terios,100000,May,Gasoline,daihatsu,No,2016-03-25 00:00:00,86316,2016-04-05 16:44:32,2016,2016,March,March,10,7
2016-03-20 11:37:25,Daihatsu_Feroza_SX,privat,Offer,1450,test,suv,1997,manuell,95,andere,150000,May,Gasoline,daihatsu,No,2016-03-20 00:00:00,99510,2016-04-06 08:46:33,2016,2016,March,March,19,7
2016-03-12 14:44:54,2.Hand_Gelaendewagen_Bergziege___mit_untersetzung_und_TÜV_8/17,privat,Offer,2250,test,suv,1994,manuell,97,andere,150000,Nov,Gasoline,daihatsu,No,2016-03-12 00:00:00,25917,2016-03-27 05:46:28,2016,2016,March,March,22,1
2016-04-01 12:48:58,Allrad_Daihatsu_Terios_Plus/Klima/_Allrad/silbermet._gepflegt,privat,Offer,3990,test,suv,2005,manuell,0,terios,125000,Oct,Gasoline,daihatsu,No,2016-04-01 00:00:00,79268,2016-04-07 09:17:47,2016,2016,April,April,11,2
2016-04-01 13:25:18,Daihatsu_Terios_Automatik!Tuev_Neu!nur_78_Tkm!_aus_1_Hand!,privat,Offer,2999,control,suv,2001,automatik,86,terios,80000,Mar,Gasoline,daihatsu,No,2016-04-01 00:00:00,57520,2016-04-06 23:17:44,2016,2016,April,April,15,9
2016-03-31 18:50:16,Daihatsu_Terios__2001__fahrbereit__guenstig_an_Bastler._Automatik!,privat,Offer,750,test,suv,2001,automatik,85,terios,100000,Mar,Gasoline,daihatsu,Yes,2016-03-31 00:00:00,57537,2016-03-31 19:26:31,2016,2016,March,March,15,9
2016-03-25 05:36:24,Daihatsu_Feroza__F300,privat,Offer,750,test,suv,1990,manuell,95,andere,150000,Jan,Gasoline,daihatsu,Yes,2016-03-25 00:00:00,78250,2016-03-25 08:48:01,2016,2016,March,March,26,11
2016-03-23 13:57:43,Daihatsu_Feroza_Cabrio_&_Hardtop,privat,Offer,2500,test,suv,1993,manuell,95,Other,150000,Jan,Gasoline,daihatsu,No,2016-03-23 00:00:00,20257,2016-03-23 14:39:56,2016,2016,March,March,23,11
