dateCrawled,name,seller,offerType,price,abtest,vehicleType,yearOfRegistration,gearbox,powerPS,model,kilometer,monthOfRegistration,fuelType,brand,notRepairedDamage,dateCreated,postalCode,lastSeen,yearOfCreation,yearCrawled,monthOfCreation,monthCrawled,yearsOld,monthsOld
2016-03-28 07:53:51,Jeep_Willys_CJ3b,privat,Offer,0,test,Other,1960,manuell,0,andere,150000,Mar,Gasoline,jeep,Other,2016-03-28 00:00:00,89415,2016-04-02 10:45:59,2016,2016,March,March,56,9
2016-03-18 10:42:12,Jeep_Grand_Cherokee_4.7_Automatik_Leder,privat,Offer,2400,control,Other,2000,automatik,0,grand,150000,Jan,Gasoline,jeep,Other,2016-03-18 00:00:00,27753,2016-03-25 01:45:46,2016,2016,March,March,16,11
2016-03-17 21:50:32,jeep_cherokee_4_7l_v8_magnum_EURO_4,privat,Offer,1850,test,Other,2005,Unspecified,0,grand,150000,Nov,,jeep,Yes,2016-03-17 00:00:00,66111,2016-03-17 22:41:32,2016,2016,March,March,11,1
2016-03-23 20:50:14,Jeep_Cherokee_limited_3.7_cooler_Rechtslenker,privat,Offer,2500,test,Other,2005,automatik,211,cherokee,150000,Mar,,jeep,Other,2016-03-23 00:00:00,6749,2016-03-29 16:45:16,2016,2016,March,March,11,9
2016-03-17 20:39:38,Jeep_Cherokee_4.0,privat,Offer,1200,control,Other,1995,automatik,0,cherokee,150000,Jan,Gasoline,jeep,Other,2016-03-17 00:00:00,86441,2016-03-24 16:45:55,2016,2016,March,March,21,11
2016-03-26 09:50:47,Jeep_Grand_Cherokee_4.7_Automatik_Leder,privat,Offer,2300,control,Other,2000,automatik,0,grand,150000,Jan,Gasoline,jeep,Other,2016-03-26 00:00:00,27753,2016-04-05 20:44:49,2016,2016,March,March,16,11
2016-03-12 20:38:51,Jeep_Cherokee_2.5_TD,privat,Offer,1399,test,Other,2000,Unspecified,0,cherokee,125000,Nov,Diesel,jeep,Other,2016-03-12 00:00:00,66538,2016-03-16 02:46:11,2016,2016,March,March,16,1
2016-03-24 09:57:29,Tausche_slk_230_compessor_gegen_wrangler,privat,Offer,0,control,Other,1910,Unspecified,0,Other,5000,Jan,,jeep,Other,2016-03-24 00:00:00,24622,2016-03-27 05:46:14,2016,2016,March,March,106,11
2016-03-20 08:32:13,Suche_jeep_grand_cherokee_wj_4_7_oder_zj_mit_Lpg,privat,Offer,0,control,Other,2000,Unspecified,0,Other,150000,Jan,,jeep,Other,2016-03-20 00:00:00,35764,2016-03-26 15:46:12,2016,2016,March,March,16,11
2016-03-27 11:51:16,Jeep_Cherokee_4_0_Limited,privat,Offer,0,test,Other,1995,automatik,0,cherokee,150000,Jan,,jeep,Other,2016-03-27 00:00:00,24805,2016-04-07 07:16:08,2016,2016,March,March,21,11
2016-03-07 19:57:27,Jeep_Cherokee_xj,privat,Offer,2000,control,Other,2016,automatik,0,cherokee,150000,Jan,Lpg,jeep,Other,2016-03-07 00:00:00,31848,2016-03-29 07:16:02,2016,2016,March,March,0,11
2016-03-24 22:51:18,Grand_Cherokee_ZJ__5_2l__neue_Stossdaempfer__an_Bastler_mit_LPG,privat,Offer,2200,control,Other,2016,Unspecified,211,Other,150000,Jun,Lpg,jeep,Other,2016-03-24 00:00:00,44892,2016-03-25 02:42:18,2016,2016,March,March,0,6
2016-03-25 10:45:21,Jeep_Grand_Cherokee_4.7_Automatik_Leder,privat,Offer,2300,test,Other,2000,automatik,0,grand,150000,Jan,Gasoline,jeep,Other,2016-03-25 00:00:00,27753,2016-03-25 10:45:21,2016,2016,March,March,16,11
2016-03-22 20:51:59,Tausche_A4_Cabrio_gegen_Jeep_Wrangler,privat,Offer,0,control,Other,2000,Unspecified,0,wrangler,5000,Jan,,jeep,Other,2016-03-22 00:00:00,73460,2016-04-04 14:47:25,2016,2016,March,March,16,11
2016-03-15 20:38:52,Jeep_Grand_Cherokee_WJ_4.0_motor_2001,privat,Offer,0,test,Other,2005,Unspecified,0,cherokee,5000,Jan,,jeep,Other,2016-03-15 00:00:00,32289,2016-04-07 01:46:47,2016,2016,March,March,11,11
2016-04-01 05:02:53,Suche_Jeep_Wrangler,privat,Offer,0,control,Other,1990,Unspecified,0,wrangler,150000,Jan,,jeep,Other,2016-04-01 00:00:00,4129,2016-04-07 06:15:25,2016,2016,April,April,26,11
2016-03-07 05:48:59,Kofferraumwanne_fuer_Jeep_Grand_Cherokee_3.0_crd,privat,Offer,60,test,Other,2006,Unspecified,0,cherokee,150000,Jan,,jeep,Other,2016-03-06 00:00:00,39599,2016-04-06 08:46:31,2016,2016,March,March,10,11
2016-04-02 09:06:23,JEEP_loves_BBQ,privat,Offer,35,test,Other,2015,Unspecified,0,andere,5000,Jan,,jeep,Other,2016-04-02 00:00:00,65205,2016-04-05 17:26:23,2016,2016,April,April,1,11
2016-03-20 08:56:39,Suche_jeep_grand_cherokee_wj_4_7_oder_zj_mit_Lpg,privat,Offer,0,test,Other,2000,Unspecified,0,Other,150000,Jan,,jeep,Other,2016-03-20 00:00:00,35764,2016-03-26 15:46:23,2016,2016,March,March,16,11
