dateCrawled,name,seller,offerType,price,abtest,vehicleType,yearOfRegistration,gearbox,powerPS,model,kilometer,monthOfRegistration,fuelType,brand,notRepairedDamage,dateCreated,postalCode,lastSeen,yearOfCreation,yearCrawled,monthOfCreation,monthCrawled,yearsOld,monthsOld
2016-03-14 12:52:21,"Jeep_Grand_Cherokee_""Overland""",privat,Offer,9800,test,suv,2004,automatik,163,grand,125000,Aug,Diesel,jeep,Other,2016-03-14 00:00:00,90480,2016-04-05 12:47:46,2016,2016,March,March,12,4
2016-03-13 20:25:18,Jeep_Grand_Cherokee_5.2_Limited_TÜV_NEU_03/2018,privat,Offer,3200,test,suv,1995,automatik,211,grand,150000,Apr,Gasoline,jeep,No,2016-03-13 00:00:00,64546,2016-03-14 06:49:04,2016,2016,March,March,21,8
2016-03-20 12:40:48,JEEP_Grand_Cherokee__Limited__Automatik_/_DIESEL___Gruene_Plakette,privat,Offer,9000,test,suv,2003,automatik,163,grand,90000,Sep,Diesel,jeep,No,2016-03-20 00:00:00,85456,2016-03-24 03:17:50,2016,2016,March,March,13,3
2016-03-14 12:46:39,Jeep_Grand_Cherokee_2.7_CRD_Limidet_Gruene_Plak._DPF,privat,Offer,7800,test,suv,2003,automatik,163,grand,150000,Nov,Diesel,jeep,No,2016-03-14 00:00:00,50769,2016-03-26 05:45:07,2016,2016,March,March,13,1
2016-03-25 11:49:47,Jeep_Wrangler_YJ_2.5_LPG__Autogas_,privat,Offer,6500,test,suv,1995,manuell,121,wrangler,150000,Oct,Lpg,jeep,No,2016-03-25 00:00:00,24354,2016-04-06 12:44:51,2016,2016,March,March,21,2
2016-04-02 12:51:57,Jeep_Grand_Cherokee_5_2l__Vollaustattung__AHK__8_Fach_bereift,privat,Offer,3900,test,suv,1996,automatik,212,cherokee,150000,Jan,Gasoline,jeep,No,2016-04-02 00:00:00,73035,2016-04-02 12:51:57,2016,2016,April,April,20,11
2016-03-13 12:51:39,Jeep_Cherokee_xj_2.5l_diesel,privat,Offer,0,test,suv,1995,manuell,0,cherokee,150000,Jan,,jeep,Yes,2016-03-13 00:00:00,54290,2016-03-25 13:22:30,2016,2016,March,March,21,11
2016-03-10 10:56:45,Jeep_wrangler_2.5,privat,Offer,5499,test,suv,1992,manuell,100,wrangler,150000,May,Gasoline,jeep,Other,2016-03-10 00:00:00,66693,2016-03-17 16:15:30,2016,2016,March,March,24,7
2016-04-04 15:51:05,Jeep_Commander_3.0_CRD_DPF_Automatik_Limited,privat,Offer,11200,test,suv,2006,automatik,218,andere,150000,May,Diesel,jeep,No,2016-04-04 00:00:00,83416,2016-04-06 17:44:41,2016,2016,April,April,10,7
2016-03-20 14:37:43,Jeep_Cherokee_2.5_TD_Sport,privat,Offer,4477,test,suv,2000,manuell,116,cherokee,150000,Dec,Diesel,jeep,No,2016-03-20 00:00:00,72800,2016-04-06 17:15:55,2016,2016,March,March,16,0
2016-03-10 09:25:23,Jeep_Cherokee_xj_Ltd._4.0_L,privat,Offer,2000,test,suv,1989,automatik,171,cherokee,150000,Feb,Gasoline,jeep,Yes,2016-03-10 00:00:00,35435,2016-04-06 05:46:23,2016,2016,March,March,27,10
2016-03-14 18:45:41,Jeep_Wrangler_4.0_Liter_HO__6_Zylinder__5_gang_Schalter,privat,Offer,3200,test,suv,1990,manuell,177,wrangler,100000,Nov,Gasoline,jeep,Other,2016-03-14 00:00:00,34125,2016-04-06 02:45:52,2016,2016,March,March,26,1
2016-03-20 14:44:49,Jeep_Grand_cherokee_4.7_lpg,privat,Offer,2300,test,suv,2000,automatik,223,grand,150000,Aug,Lpg,jeep,Yes,2016-03-20 00:00:00,46446,2016-04-06 17:16:43,2016,2016,March,March,16,4
2016-03-27 11:58:45,Jeep_CJ_3B,privat,Offer,8900,test,suv,1977,manuell,45,andere,50000,Sep,Diesel,jeep,No,2016-03-27 00:00:00,72336,2016-04-07 07:46:14,2016,2016,March,March,39,3
2016-03-10 13:45:52,Jeep_Grand_Cherokee_3.0I_Multijet_Summit,privat,Offer,19999,test,suv,2014,automatik,250,grand,90000,May,Diesel,jeep,Yes,2016-03-10 00:00:00,63128,2016-03-15 03:46:48,2016,2016,March,March,2,7
2016-03-19 19:37:58,Jeep_Jeep_Compass_2.4_Limited_Rally_Sport_4x4_mit_LPG,privat,Offer,11000,control,suv,2007,manuell,170,andere,150000,Nov,Lpg,jeep,No,2016-03-19 00:00:00,86179,2016-04-07 06:46:38,2016,2016,March,March,9,1
2016-03-29 14:47:02,Jeep_CJ_7_zum_restorieren,privat,Offer,1900,test,suv,1980,manuell,121,andere,150000,Jan,Gasoline,jeep,Other,2016-03-29 00:00:00,72419,2016-04-02 02:15:38,2016,2016,March,March,36,11
2016-03-29 20:44:48,Jeep_Wrangler_2.8_CRD_DPF_Automatik_Sahara_Leder_Navi,privat,Offer,21990,test,suv,2012,automatik,200,wrangler,125000,Jun,Diesel,jeep,No,2016-03-29 00:00:00,97422,2016-04-06 06:45:50,2016,2016,March,March,4,6
2016-03-27 00:44:01,Jeep_Wrangler_jk_2.8_Sport,privat,Offer,24500,test,suv,2010,automatik,177,wrangler,50000,Jul,Diesel,jeep,No,2016-03-26 00:00:00,91474,2016-04-06 17:17:03,2016,2016,March,March,6,5
2016-03-12 15:36:24,Jeep_Cherokee_Dieselpartikelfilter,privat,Offer,200,control,suv,2004,automatik,0,cherokee,100000,Apr,Diesel,jeep,No,2016-03-12 00:00:00,21423,2016-04-07 02:45:37,2016,2016,March,March,12,8
2016-03-12 10:58:06,Jeep_Grand_Cherokee,privat,Offer,1,control,suv,2005,automatik,218,grand,150000,Jan,Diesel,jeep,Other,2016-03-12 00:00:00,17109,2016-03-19 07:15:48,2016,2016,March,March,11,11
2016-03-28 00:49:04,Jeep_Grand_Cherokee_6.1_Automatik_SRT8,privat,Offer,18300,control,suv,2007,automatik,426,grand,100000,Apr,Gasoline,jeep,No,2016-03-27 00:00:00,70435,2016-04-06 09:15:19,2016,2016,March,March,9,8
2016-03-07 22:55:14,Jeep_Commander_3.0_CRD_DPF_Automatik_Limited,privat,Offer,21950,test,suv,2007,automatik,218,andere,50000,Oct,Diesel,jeep,No,2016-03-07 00:00:00,78166,2016-04-03 18:47:20,2016,2016,March,March,9,2
2016-03-14 00:41:59,Jeep_Commander_3.0_CRD_DPF_Automatik_Limited,privat,Offer,15500,control,suv,2007,automatik,218,andere,150000,Jan,Diesel,jeep,No,2016-03-13 00:00:00,74336,2016-04-06 21:18:44,2016,2016,March,March,9,11
2016-03-24 12:47:52,Jeep_Compass_2.0_CRD,privat,Offer,7300,test,suv,2007,manuell,140,andere,150000,Feb,Diesel,jeep,No,2016-03-24 00:00:00,24113,2016-03-25 21:18:17,2016,2016,March,March,9,10
2016-03-24 18:49:56,Jeep_Grand_Cherokee_Offroad_Umbau,privat,Offer,0,test,suv,2005,automatik,163,grand,150000,Jun,Diesel,jeep,Other,2016-03-24 00:00:00,7607,2016-03-27 15:46:17,2016,2016,March,March,11,6
2016-03-12 04:36:36,Jeep_Grand_Cherokee_3.0_CRD_Automatik,privat,Offer,14900,control,suv,2008,automatik,218,grand,150000,Sep,Diesel,jeep,No,2016-03-12 00:00:00,67310,2016-03-12 21:44:26,2016,2016,March,March,8,3
2016-03-19 19:51:29,Jeep_Grand_Cherokee_3.0_CRD_Diesel,privat,Offer,21900,control,suv,2009,automatik,218,cherokee,80000,Jan,Diesel,jeep,Other,2016-03-19 00:00:00,10117,2016-03-22 02:45:23,2016,2016,March,March,7,11
2016-03-17 11:55:26,Jeep_Compass_2.2I_CRD_4x4_Limited,privat,Offer,23700,control,suv,2014,manuell,163,andere,50000,Jan,Diesel,jeep,No,2016-03-17 00:00:00,30855,2016-03-17 12:46:12,2016,2016,March,March,2,11
2016-03-25 12:53:05,Grand_Cherokee_Jeep_ohne_Tuev_schwarz__Prins_Gasanlage_V8__Benzin,privat,Offer,3800,test,suv,1998,automatik,212,grand,150000,Jan,Gasoline,jeep,No,2016-03-25 00:00:00,33142,2016-04-06 14:44:45,2016,2016,March,March,18,11
2016-03-19 14:40:13,Jeep_WILLYS_Jeep_Hotchkiss_M_201,privat,Offer,24900,test,suv,1962,manuell,60,andere,90000,Jul,Gasoline,jeep,No,2016-03-19 00:00:00,72770,2016-04-06 21:18:23,2016,2016,March,March,54,5
2016-03-12 12:54:32,Jeep_Cherokee_4.0_Automatik_Limited__Kein_Bendix_ABS_,privat,Offer,4500,test,suv,1991,automatik,171,cherokee,125000,Mar,Gasoline,jeep,No,2016-03-12 00:00:00,89077,2016-04-06 10:17:16,2016,2016,March,March,25,9
2016-03-18 18:52:17,Jeep_Grand_Cherokee_4.0_Laredo,privat,Offer,4650,control,suv,2003,automatik,190,grand,150000,Aug,Gasoline,jeep,No,2016-03-18 00:00:00,85229,2016-04-05 22:45:30,2016,2016,March,March,13,4
2016-03-16 19:38:41,Jeep_Grand_Cherokee_Wj_4_7L_V8,privat,Offer,4600,test,suv,1999,automatik,223,cherokee,150000,Apr,Gasoline,jeep,Other,2016-03-16 00:00:00,14929,2016-03-20 20:16:43,2016,2016,March,March,17,8
2016-03-28 13:37:00,Jeep_Compass_2.0_CRD__EZ_2008_4×4_Diesel,privat,Offer,8100,test,suv,2008,manuell,140,andere,150000,Jul,,jeep,No,2016-03-28 00:00:00,82024,2016-04-06 16:46:27,2016,2016,March,March,8,5
2016-04-03 17:44:46,Jeep_Willys,privat,Offer,7600,test,suv,1966,manuell,77,andere,90000,Jan,Gasoline,jeep,No,2016-04-03 00:00:00,28832,2016-04-05 17:44:33,2016,2016,April,April,50,11
2016-03-10 13:45:16,Jeep_Grand_Cherokee,privat,Offer,1000,test,suv,1993,Unspecified,0,grand,150000,Aug,Gasoline,jeep,Yes,2016-03-10 00:00:00,23923,2016-03-11 00:46:40,2016,2016,March,March,23,4
2016-03-19 14:53:50,Jeep_Compass_CRD__4x4__AHK,privat,Offer,9000,test,suv,2007,manuell,140,andere,100000,Aug,,jeep,No,2016-03-19 00:00:00,27442,2016-03-30 08:44:43,2016,2016,March,March,9,4
2016-04-01 21:36:19,Jeep_Cherokee_3.7_Limited_LPG_Gas_Benz__TÜV_11.17_AHK,privat,Offer,5990,test,suv,2002,automatik,211,cherokee,150000,Mar,Lpg,jeep,No,2016-04-01 00:00:00,45143,2016-04-05 19:15:46,2016,2016,April,April,14,9
2016-03-27 19:52:18,Jeep_Patriot_2.4_Sport,privat,Offer,7900,control,suv,2008,manuell,170,andere,80000,Mar,Gasoline,jeep,No,2016-03-27 00:00:00,87719,2016-04-05 18:16:06,2016,2016,March,March,8,9
2016-03-29 20:43:16,Jeep_Wrangler_YJ_2_5l,privat,Offer,3990,test,suv,1996,manuell,121,wrangler,80000,Jan,Gasoline,jeep,No,2016-03-29 00:00:00,72585,2016-04-04 05:56:30,2016,2016,March,March,20,11
2016-03-30 16:46:49,Jeep_Grand_Cherokee_3_0_CRD,privat,Offer,24500,test,suv,2010,automatik,250,grand,90000,Feb,Diesel,jeep,No,2016-03-30 00:00:00,73240,2016-04-07 07:44:18,2016,2016,March,March,6,10
2016-03-26 10:51:48,***Grand_Cherokee_Limited__PDF__gruene_Umweltplakette***,privat,Offer,8700,test,suv,2003,automatik,163,cherokee,125000,Oct,Diesel,jeep,Other,2016-03-26 00:00:00,76227,2016-03-29 12:48:05,2016,2016,March,March,13,2
2016-03-17 21:42:59,Jeep_Compass_2.2I_CRD_4x4_Limited,privat,Offer,2000,test,suv,2012,manuell,163,andere,40000,Aug,Diesel,jeep,Yes,2016-03-17 00:00:00,44892,2016-04-07 11:16:22,2016,2016,March,March,4,4
2016-03-14 17:46:45,Jeep_Grand_Cherokee_6.1_Automatik_SRT8,privat,Offer,19800,test,suv,2009,automatik,426,grand,150000,Jun,Gasoline,jeep,No,2016-03-14 00:00:00,84326,2016-03-22 12:17:22,2016,2016,March,March,7,6
2016-03-20 19:38:19,Jeep_CJ,privat,Offer,17900,test,suv,1976,manuell,0,andere,80000,Jul,Gasoline,jeep,No,2016-03-20 00:00:00,70599,2016-04-07 03:17:53,2016,2016,March,March,40,5
2016-03-30 19:43:47,Jeep_Wrangler_4.0_Rubicon,privat,Offer,18300,test,suv,2004,automatik,174,wrangler,150000,Mar,Gasoline,jeep,No,2016-03-30 00:00:00,45147,2016-04-07 10:47:11,2016,2016,March,March,12,9
2016-03-05 16:44:43,Jeep_Wrangler_Hard_Top_3.8_Sport,privat,Offer,16300,control,suv,2008,manuell,199,wrangler,125000,Aug,Gasoline,jeep,No,2016-03-05 00:00:00,30171,2016-04-01 20:45:28,2016,2016,March,March,8,4
2016-03-17 19:47:51,Jeep_Renegade_Neu_Privat_Neupreis_20.000_WEIss_4_Jahre_Garatie,privat,Offer,16500,control,suv,2016,manuell,110,andere,5000,Apr,Gasoline,jeep,Other,2016-03-17 00:00:00,20144,2016-03-20 22:17:23,2016,2016,March,March,0,8
2016-03-30 11:57:03,Jeep_Grand_Cherokee_3.0_CRD_WH_2008_schwarz,privat,Offer,16900,test,suv,2008,automatik,218,grand,70000,Jan,Diesel,jeep,No,2016-03-30 00:00:00,58332,2016-04-05 00:17:01,2016,2016,March,March,8,11
2016-04-05 00:37:23,Grand_Cherockee_2_7_cdi_163_PS_Farbe_Sielber,privat,Offer,3600,control,suv,2005,automatik,0,grand,150000,Jan,Diesel,jeep,Yes,2016-04-04 00:00:00,33100,2016-04-05 07:46:22,2016,2016,April,April,11,11
