dateCrawled,name,seller,offerType,price,abtest,vehicleType,yearOfRegistration,gearbox,powerPS,model,kilometer,monthOfRegistration,fuelType,brand,notRepairedDamage,dateCreated,postalCode,lastSeen,yearOfCreation,yearCrawled,monthOfCreation,monthCrawled,yearsOld,monthsOld
2016-04-05 11:50:50,2xLada_Samara_Coupe_BJ_1991/1992_weiss/rot_199/99_bitte_lesen,privat,Offer,199,test,Other,1995,manuell,0,samara,100000,Jan,Gasoline,lada,Other,2016-04-05 00:00:00,14774,2016-04-05 11:50:50,2016,2016,April,April,21,11
2016-03-26 21:48:02,Lada_Shiguli_2101_DDR_Oldtimer_Scheunenfund,privat,Offer,1350,control,Other,1980,Unspecified,0,andere,50000,Jan,,lada,Other,2016-03-26 00:00:00,17034,2016-04-06 13:16:30,2016,2016,March,March,36,11
2016-03-25 08:54:18,Lada_Niva_Allrad___Neuer_Lack___neue_Inspektion,privat,Offer,2500,control,Other,2016,Unspecified,0,niva,60000,Aug,,lada,Other,2016-03-25 00:00:00,75446,2016-04-06 08:44:43,2016,2016,March,March,0,4
2016-03-05 16:36:36,Lada_niva_mit_motorschaden,privat,Offer,1200,control,Other,2016,manuell,82,niva,80000,Jun,Gasoline,lada,Other,2016-03-05 00:00:00,73760,2016-03-05 17:47:25,2016,2016,March,March,0,6
2016-04-04 17:54:20,Lada_Samara_Baltic,privat,Offer,200,test,Other,2016,manuell,0,samara,150000,Jan,Gasoline,lada,Other,2016-04-04 00:00:00,52134,2016-04-04 17:54:20,2016,2016,April,April,0,11
2016-03-08 21:50:59,Lada_Shiguli,privat,Offer,1600,control,Other,1980,Unspecified,0,andere,5000,Jan,,lada,Other,2016-03-08 00:00:00,7639,2016-03-28 08:16:18,2016,2016,March,March,36,11
2016-03-18 10:38:01,2x_Lada_Samara_BJ_1992/1984_bitte_lesen_Brandenburg,privat,Offer,99,control,Other,1995,manuell,0,samara,125000,Jan,Gasoline,lada,Other,2016-03-18 00:00:00,14774,2016-03-18 10:38:01,2016,2016,March,March,21,11
2016-03-18 10:46:23,2xLada_Samara_BJ_1984/1992_weiss/rot_249/99_bitte_genau_lesen,privat,Offer,249,control,Other,1985,manuell,0,samara,125000,Jan,Gasoline,lada,Other,2016-03-18 00:00:00,14774,2016-03-21 07:15:19,2016,2016,March,March,31,11
2016-03-29 22:48:03,LADA_1500_zu_verkaufen,privat,Offer,0,test,Other,1980,Unspecified,0,Other,125000,Jan,,lada,Other,2016-03-29 00:00:00,15295,2016-04-06 10:45:37,2016,2016,March,March,36,11
2016-03-11 08:37:22,Lada_niva__schlachtfest,privat,Offer,0,test,Other,2016,manuell,0,niva,80000,Dec,Gasoline,lada,Other,2016-03-11 00:00:00,71672,2016-03-11 09:45:48,2016,2016,March,March,0,0
2016-03-28 19:38:15,Lada_1500_S,privat,Offer,800,control,Other,1985,Unspecified,0,andere,5000,Jan,,lada,Other,2016-03-28 00:00:00,14621,2016-04-07 01:45:44,2016,2016,March,March,31,11
2016-03-14 10:36:58,Lada_Niva_2121_zu_verkaufen,privat,Offer,2500,control,Other,2016,manuell,0,niva,60000,Feb,Gasoline,lada,Other,2016-03-14 00:00:00,15831,2016-03-23 11:46:59,2016,2016,March,March,0,10
2016-03-22 15:55:01,Lada_niva,privat,Offer,3000,control,Other,2009,Unspecified,0,niva,40000,Jan,,lada,Other,2016-03-22 00:00:00,98547,2016-03-22 15:55:01,2016,2016,March,March,7,11
2016-03-05 14:46:18,LADA_WAS_2101_Shiguli_1200,privat,Offer,500,control,Other,1980,Unspecified,0,andere,100000,Jan,,lada,Other,2016-03-05 00:00:00,1768,2016-03-17 20:47:24,2016,2016,March,March,36,11
2016-03-31 16:53:40,Lada_Nova_jr_zu_verkaufen,privat,Offer,1100,control,Other,1995,manuell,0,Other,50000,Jan,Gasoline,lada,Other,2016-03-31 00:00:00,14712,2016-04-06 10:16:08,2016,2016,March,March,21,11
2016-03-22 16:40:36,Lada_niva_4x4__1.7_82_PS,privat,Offer,3000,test,Other,2009,Unspecified,0,niva,40000,Jan,,lada,Other,2016-03-22 00:00:00,98547,2016-03-22 16:40:36,2016,2016,March,March,7,11
2016-03-09 20:51:45,Gebraucht_Bastler,privat,Offer,1000,test,Other,2005,Unspecified,0,niva,80000,Jan,,lada,Other,2016-03-09 00:00:00,57319,2016-03-12 08:16:10,2016,2016,March,March,11,11
2016-03-20 23:42:16,Lada___21073______Baujahr_1995_______84_PS,privat,Offer,2500,control,Other,1995,manuell,0,andere,5000,Jan,Gasoline,lada,Other,2016-03-20 00:00:00,7907,2016-04-01 13:15:53,2016,2016,March,March,21,11
2016-03-09 18:46:16,Lada_Niva_Allrad___Neuer_Lack___neue_Inspektion,privat,Offer,2500,test,Other,2016,manuell,0,niva,70000,Aug,,lada,No,2016-03-09 00:00:00,75446,2016-03-19 23:15:56,2016,2016,March,March,0,4
2016-03-20 08:57:01,Lada_Niva_Allrad___Neuer_Lack___neue_Inspektion,privat,Offer,2500,test,Other,2016,Unspecified,0,niva,60000,Aug,,lada,Other,2016-03-20 00:00:00,75446,2016-03-25 07:48:47,2016,2016,March,March,0,4
2016-03-07 21:59:03,Lada_2108_Funkstreifenwagen_Miliz_keine_Volkspolizei__DDR__GUS,privat,Offer,2199,control,Other,2016,manuell,0,samara,70000,Jan,,lada,No,2016-03-07 00:00:00,1796,2016-03-08 13:16:48,2016,2016,March,March,0,11
