dateCrawled,name,seller,offerType,price,abtest,vehicleType,yearOfRegistration,gearbox,powerPS,model,kilometer,monthOfRegistration,fuelType,brand,notRepairedDamage,dateCreated,postalCode,lastSeen,yearOfCreation,yearCrawled,monthOfCreation,monthCrawled,yearsOld,monthsOld
2016-03-07 17:48:34,Lada_Volga_3102,privat,Offer,8400,test,limousine,2007,manuell,137,andere,100000,Apr,Gasoline,lada,No,2016-03-07 00:00:00,88214,2016-04-06 12:44:24,2016,2016,March,March,9,8
2016-03-10 17:49:04,Guenstig_fahren!!_TÜV_NEU!!,privat,Offer,1600,control,limousine,2006,manuell,90,andere,100000,Dec,Lpg,lada,No,2016-03-10 00:00:00,41469,2016-03-20 03:44:54,2016,2016,March,March,10,0
2016-03-15 19:54:17,Lada_1200__Lada_2101_Zhiguli_Fiat_124_Aus_Kroatien.,privat,Offer,1599,control,limousine,1976,manuell,60,andere,30000,Feb,Gasoline,lada,No,2016-03-15 00:00:00,72622,2016-04-07 00:18:04,2016,2016,March,March,40,10
2016-03-14 13:46:07,LADA_1300_21011_MIT_H_ZULASSUNG_kein_Trabant_oder_Wartburg,privat,Offer,1249,test,limousine,1977,manuell,0,andere,125000,May,Gasoline,lada,Other,2016-03-14 00:00:00,14641,2016-03-21 03:18:03,2016,2016,March,March,39,7
2016-03-18 13:42:57,Lada_2101_/_fiat_124,privat,Offer,1800,control,limousine,1977,manuell,70,andere,70000,Jan,,lada,No,2016-03-18 00:00:00,85391,2016-03-31 17:15:33,2016,2016,March,March,39,11
2016-03-16 19:57:00,Lada_2110_Schiguli,privat,Offer,1999,test,limousine,1998,manuell,80,andere,5000,Apr,Gasoline,lada,No,2016-03-16 00:00:00,48282,2016-04-07 05:45:54,2016,2016,March,March,18,8
2016-03-23 22:50:02,Lada_2107,privat,Offer,2000,test,limousine,1985,manuell,0,andere,60000,May,Gasoline,lada,No,2016-03-23 00:00:00,7907,2016-04-06 06:45:54,2016,2016,March,March,31,7
2016-03-09 19:45:07,Oldtimer_Lada_2103_mit_Dieselmotor,privat,Offer,750,test,limousine,1977,manuell,0,andere,150000,Mar,Diesel,lada,No,2016-03-09 00:00:00,2727,2016-03-12 05:46:40,2016,2016,March,March,39,9
2016-03-20 15:55:52,Lada_Kalina,privat,Offer,3000,control,limousine,2009,manuell,90,kalina,30000,Jun,Gasoline,lada,No,2016-03-20 00:00:00,66914,2016-04-06 20:45:40,2016,2016,March,March,7,6
2016-03-20 18:56:30,Guenstig_Fahren!!_Neu_TÜV!!,privat,Offer,1490,test,limousine,2006,manuell,90,andere,100000,Dec,Lpg,lada,No,2016-03-20 00:00:00,41469,2016-04-07 02:45:30,2016,2016,March,March,10,0
