dateCrawled,name,seller,offerType,price,abtest,vehicleType,yearOfRegistration,gearbox,powerPS,model,kilometer,monthOfRegistration,fuelType,brand,notRepairedDamage,dateCreated,postalCode,lastSeen,yearOfCreation,yearCrawled,monthOfCreation,monthCrawled,yearsOld,monthsOld
2016-03-31 14:55:36,seltener_Lada_Niva_mit_Saug_Diesel_Bj.1997_LKW_Zulassung_ohne_TÜV,privat,Offer,2500,control,suv,1997,manuell,64,niva,150000,Feb,Diesel,lada,Yes,2016-03-31 00:00:00,1683,2016-04-06 08:16:51,2016,2016,March,March,19,10
2016-03-22 01:47:20,Lada_Niva_1700i_HU_BIS_08_2017,privat,Offer,2500,test,suv,2002,manuell,0,niva,70000,Jan,,lada,Other,2016-03-21 00:00:00,9432,2016-04-05 13:17:12,2016,2016,March,March,14,11
2016-04-04 15:39:26,Lada_Niva_1.7i_Kult,privat,Offer,3000,test,suv,2008,manuell,82,niva,60000,Feb,Gasoline,lada,No,2016-04-04 00:00:00,7381,2016-04-06 16:47:22,2016,2016,April,April,8,10
2016-04-04 17:51:06,Lada_Niva_1.7i,privat,Offer,5500,test,suv,2010,manuell,82,niva,50000,Oct,Gasoline,lada,No,2016-04-04 00:00:00,2826,2016-04-06 19:48:10,2016,2016,April,April,6,2
2016-03-23 20:36:16,Lada_Niva_Lang_Version,privat,Offer,1300,test,suv,2008,manuell,0,niva,80000,Dec,Gasoline,lada,Other,2016-03-23 00:00:00,94431,2016-03-23 20:36:16,2016,2016,March,March,8,0
2016-03-08 16:06:23,Lada_Niva_1.7i,privat,Offer,4900,control,suv,2007,manuell,0,niva,125000,Nov,Lpg,lada,Yes,2016-03-08 00:00:00,56355,2016-04-05 02:15:31,2016,2016,March,March,9,1
2016-04-05 09:52:52,Niva_1_7i_4x4__mit_LPG_Gasanlage_TÜV_neu_!!!,privat,Offer,3000,control,suv,2007,manuell,82,niva,100000,May,Gasoline,lada,No,2016-04-05 00:00:00,17109,2016-04-07 08:36:16,2016,2016,April,April,9,7
2016-03-25 13:36:17,Lada_Niva_4X4,privat,Offer,999,test,suv,1995,manuell,80,niva,80000,Dec,Gasoline,lada,Other,2016-03-25 00:00:00,54309,2016-04-02 16:44:37,2016,2016,March,March,21,0
2016-03-26 13:38:31,lada_niva_4&4,privat,Offer,4999,control,suv,2008,manuell,82,niva,50000,Jun,Gasoline,lada,Other,2016-03-26 00:00:00,93444,2016-04-06 01:16:15,2016,2016,March,March,8,6
2016-03-14 21:51:47,Lada__Niva,privat,Offer,5900,test,suv,2009,manuell,82,niva,20000,Jun,Gasoline,lada,No,2016-03-04 00:00:00,63128,2016-03-21 04:15:41,2016,2016,March,March,7,6
2016-03-27 16:51:27,Lada_Niva_1.7i,privat,Offer,5800,test,suv,2009,Unspecified,0,niva,20000,Oct,Gasoline,lada,No,2016-03-27 00:00:00,72285,2016-04-05 12:21:33,2016,2016,March,March,7,2
2016-03-20 22:40:48,Lada_Niva_1.7i_California_TÜV_02/17_AHK_Faltdach_TOP!,privat,Offer,3299,test,suv,2005,manuell,82,niva,80000,Aug,Gasoline,lada,No,2016-03-20 00:00:00,6567,2016-04-07 07:46:24,2016,2016,March,March,11,4
2016-03-23 21:55:21,Gelaendeauto_ideal_zur_Jagd_und_zum_Holz_holen__nur_mit_Fahrersitz,privat,Offer,2100,test,suv,2006,manuell,89,niva,125000,May,Gasoline,lada,No,2016-03-23 00:00:00,1744,2016-04-06 05:44:36,2016,2016,March,March,10,7
2016-03-09 19:47:24,Lada_Niva_1.7i_Only,privat,Offer,999,test,suv,2008,manuell,82,niva,100000,Sep,Gasoline,lada,Yes,2016-03-09 00:00:00,39319,2016-03-11 16:44:22,2016,2016,March,March,8,3
2016-03-31 19:48:23,Lada_Niva_1_7i__Gelaendewagen__Jeep,privat,Offer,4150,control,suv,2009,manuell,82,niva,60000,Feb,Gasoline,lada,Other,2016-03-31 00:00:00,57074,2016-04-06 14:17:51,2016,2016,March,March,7,10
2016-03-14 13:50:40,Lada_Niva_1_7_Allrad,privat,Offer,2499,test,suv,2006,manuell,82,niva,100000,May,Gasoline,lada,No,2016-03-14 00:00:00,15236,2016-03-18 00:46:07,2016,2016,March,March,10,7
2016-03-06 00:40:11,Lada_Niva_1.7i_Only_Special__AUS_ERSTER_HAND!!!,privat,Offer,5200,control,suv,2011,manuell,82,niva,50000,Jan,Gasoline,lada,No,2016-03-05 00:00:00,67822,2016-03-27 15:18:16,2016,2016,March,March,5,11
2016-03-10 16:39:35,Lada_Niva_1.7i_Hunter,privat,Offer,2200,control,suv,2009,manuell,82,niva,70000,Nov,Gasoline,lada,No,2016-03-10 00:00:00,53894,2016-03-11 04:16:13,2016,2016,March,March,7,1
2016-03-16 19:55:17,Lada_Niva_1.7i_California_TÜV_02/17_AHK_Faltdach_TOP!,privat,Offer,3298,test,suv,2005,manuell,82,niva,80000,Aug,Gasoline,lada,No,2016-03-16 00:00:00,6567,2016-04-07 05:45:49,2016,2016,March,March,11,4
