dateCrawled,name,seller,offerType,price,abtest,vehicleType,yearOfRegistration,gearbox,powerPS,model,kilometer,monthOfRegistration,fuelType,brand,notRepairedDamage,dateCreated,postalCode,lastSeen,yearOfCreation,yearCrawled,monthOfCreation,monthCrawled,yearsOld,monthsOld
2016-03-28 10:58:14,Freelander_TD4_mit_Partikelfilter,privat,Offer,1750,control,Other,2005,manuell,112,freelander,150000,May,,land_rover,Other,2016-03-28 00:00:00,27283,2016-03-28 11:40:23,2016,2016,March,March,11,7
2016-03-17 17:45:49,Auto_ist_sehr_gut_Rechtslenker,privat,Offer,2100,control,Other,2005,manuell,0,freelander,90000,Apr,Diesel,land_rover,No,2016-03-17 00:00:00,38120,2016-03-27 09:16:19,2016,2016,March,March,11,8
2016-03-31 18:37:18,Landrover_Freelander_TD4,privat,Offer,3700,control,Other,2016,manuell,112,freelander,150000,Jul,Diesel,land_rover,No,2016-03-31 00:00:00,53639,2016-04-06 12:16:10,2016,2016,March,March,0,5
2016-04-01 13:45:46,Land_rover_bj_2000_diesel,privat,Offer,1100,test,Other,2016,manuell,0,freelander,150000,May,Diesel,land_rover,Yes,2016-04-01 00:00:00,9322,2016-04-05 07:50:58,2016,2016,April,April,0,7
2016-03-19 03:06:26,5_Stahlfegen_fuer_Landrover_Defender__Discovery,privat,Offer,220,control,Other,1990,Unspecified,0,defender,5000,Jan,,land_rover,Other,2016-03-19 00:00:00,56269,2016-04-06 21:46:03,2016,2016,March,March,26,11
2016-03-21 19:53:32,Suche_Wohnwagen_tausche_Range_Rover_P_38_Dse,privat,Offer,3000,test,Other,2000,Unspecified,0,range_rover,5000,Jan,,land_rover,Other,2016-03-21 00:00:00,52525,2016-03-21 19:53:32,2016,2016,March,March,16,11
2016-03-09 16:38:02,landrover_Serie_3,privat,Offer,0,test,Other,1980,Unspecified,0,serie_3,100000,Jan,Diesel,land_rover,Other,2016-03-09 00:00:00,44787,2016-04-07 03:46:31,2016,2016,March,March,36,11
2016-04-03 17:48:17,Range_Rover_P38_2.5l_Diesel,privat,Offer,0,test,Other,1995,manuell,0,range_rover,150000,Jul,,land_rover,Other,2016-04-03 00:00:00,26427,2016-04-05 18:17:15,2016,2016,April,April,21,5
2016-03-22 07:55:46,Landrover_Freelander_1.8_Zylinderkopfschaden,privat,Offer,700,control,Other,2000,Unspecified,0,freelander,150000,Jan,,land_rover,Other,2016-03-22 00:00:00,49074,2016-03-25 00:17:14,2016,2016,March,March,16,11
2016-03-29 16:51:21,Land_rover_bj_2000,privat,Offer,1290,control,Other,2000,manuell,0,freelander,150000,May,Diesel,land_rover,Yes,2016-03-29 00:00:00,9322,2016-03-31 09:47:33,2016,2016,March,March,16,7
2016-03-05 20:56:23,Land_Rover_Freelander_td_4,privat,Offer,0,control,Other,2005,manuell,110,freelander,150000,Jan,Diesel,land_rover,Yes,2016-03-05 00:00:00,25767,2016-03-06 04:17:10,2016,2016,March,March,11,11
2016-03-11 23:37:03,Land_Rover_Defender_Tank,privat,Offer,0,test,Other,2000,Unspecified,0,defender,150000,Jan,,land_rover,Other,2016-03-11 00:00:00,33154,2016-04-05 15:47:24,2016,2016,March,March,16,11
2016-04-02 10:53:15,Land_Rover_Originalzustand,privat,Offer,0,test,Other,1970,Unspecified,0,serie_1,100000,Jan,Gasoline,land_rover,Other,2016-04-02 00:00:00,88634,2016-04-06 09:16:22,2016,2016,April,April,46,11
2016-03-09 17:59:37,Land_Rover_1.9_Baujahr_2004_Freelander_Td4,privat,Offer,2800,test,Other,2005,Unspecified,0,freelander,150000,Jan,Diesel,land_rover,Other,2016-03-09 00:00:00,27793,2016-03-19 21:46:07,2016,2016,March,March,11,11
2016-04-04 08:54:34,Range_Rover_P38_HSE_4.6,privat,Offer,1500,control,Other,1995,automatik,224,range_rover,150000,Dec,Gasoline,land_rover,Other,2016-04-04 00:00:00,63920,2016-04-06 09:45:48,2016,2016,April,April,21,0
