dateCrawled,name,seller,offerType,price,abtest,vehicleType,yearOfRegistration,gearbox,powerPS,model,kilometer,monthOfRegistration,fuelType,brand,notRepairedDamage,dateCreated,postalCode,lastSeen,yearOfCreation,yearCrawled,monthOfCreation,monthCrawled,yearsOld,monthsOld
2016-03-19 15:56:25,Land_Rover_Freelander_TD4_Aut._SE,privat,Offer,27500,control,suv,2014,automatik,150,freelander,40000,Feb,Diesel,land_rover,No,2016-03-19 00:00:00,63846,2016-03-19 15:56:25,2016,2016,March,March,2,10
2016-03-20 22:51:42,Land_Rover_Discovery,privat,Offer,6000,test,suv,1999,automatik,139,discovery,150000,Jun,Diesel,land_rover,No,2016-03-20 00:00:00,76297,2016-04-07 09:45:08,2016,2016,March,March,17,6
2016-04-03 12:43:09,Land_Rover_Pick_Up_Typ_110_RHD,privat,Offer,8199,control,suv,1988,manuell,113,defender,150000,Feb,Diesel,land_rover,No,2016-04-03 00:00:00,37269,2016-04-07 14:57:15,2016,2016,April,April,28,10
2016-03-27 14:45:42,Land_Rover_Freelander1,privat,Offer,3200,control,suv,2002,automatik,111,Other,150000,May,Diesel,land_rover,Yes,2016-03-27 00:00:00,59348,2016-04-07 11:16:03,2016,2016,March,March,14,7
2016-03-05 23:55:36,Land_Rover_Freelander_1.8i_SKY_LPG_princ_Anlage,privat,Offer,6150,control,suv,2005,manuell,117,freelander,125000,May,Gasoline,land_rover,No,2016-03-05 00:00:00,26384,2016-03-20 00:15:48,2016,2016,March,March,11,7
2016-03-20 11:43:28,Land_Rover_Range_Rover_SEi,privat,Offer,14900,test,suv,1993,automatik,182,range_rover,150000,Nov,Gasoline,land_rover,No,2016-03-20 00:00:00,10781,2016-04-06 08:46:41,2016,2016,March,March,23,1
2016-04-05 09:50:55,Landrover_Freelander_td_4_Cabrio,privat,Offer,3999,control,suv,2002,manuell,112,freelander,150000,Jan,,land_rover,Other,2016-04-05 00:00:00,35625,2016-04-05 12:26:56,2016,2016,April,April,14,11
2016-03-20 19:53:34,Land_Rover_Freelander_1.8i,privat,Offer,1250,test,suv,1999,manuell,120,freelander,150000,Nov,Gasoline,land_rover,Yes,2016-03-20 00:00:00,99869,2016-03-30 13:46:35,2016,2016,March,March,17,1
2016-03-12 19:48:21,Land_Rover_Freelander_Td4_E,privat,Offer,6399,test,suv,2004,manuell,111,freelander,150000,Oct,Diesel,land_rover,No,2016-03-12 00:00:00,77654,2016-04-05 12:20:58,2016,2016,March,March,12,2
2016-03-21 14:53:01,Land_Rover_Discovery_TD_V6__Neuer_Motor___Rechnung_14.000,privat,Offer,11900,control,suv,2007,automatik,190,discovery,150000,Aug,Diesel,land_rover,No,2016-03-21 00:00:00,30855,2016-04-06 12:15:36,2016,2016,March,March,9,4
