dateCrawled,name,seller,offerType,price,abtest,vehicleType,yearOfRegistration,gearbox,powerPS,model,kilometer,monthOfRegistration,fuelType,brand,notRepairedDamage,dateCreated,postalCode,lastSeen,yearOfCreation,yearCrawled,monthOfCreation,monthCrawled,yearsOld,monthsOld
2016-03-05 20:42:54,Trabant_Cabrio_Sommerauto_Hochzeitsauto_DDR_IFA_Sachsenring,privat,Offer,6000,control,cabrio,1989,manuell,26,601,40000,Oct,Gasoline,trabant,No,2016-03-05 00:00:00,99752,2016-03-07 16:45:33,2016,2016,March,March,27,2
2016-04-03 21:00:10,Trabant_Kuebel_601A,privat,Offer,7000,test,cabrio,1982,manuell,26,601,30000,Mar,Gasoline,trabant,No,2016-04-03 00:00:00,39615,2016-04-05 21:47:42,2016,2016,April,April,34,9
2016-04-01 00:36:56,Trabant_601_Kuebel,privat,Offer,9990,test,cabrio,1975,manuell,26,601,5000,Jan,Gasoline,trabant,No,2016-03-31 00:00:00,7929,2016-04-07 05:15:49,2016,2016,March,April,41,11
2016-03-18 14:36:42,Schmuckstueck_zu_verkaufen_macht_ein_Angebot,privat,Offer,0,test,cabrio,1989,Unspecified,0,601,50000,Feb,Gasoline,trabant,Other,2016-03-18 00:00:00,4668,2016-04-05 22:17:29,2016,2016,March,March,27,10
2016-03-25 11:36:19,Trabant_601_Cabrio__H_Kennz.__AT_Motor,privat,Offer,5500,test,cabrio,1985,manuell,26,601,40000,Jul,Gasoline,trabant,No,2016-03-25 00:00:00,45661,2016-04-06 11:17:53,2016,2016,March,March,31,5
2016-03-30 18:39:33,Trabant_601_A___Kuebel,privat,Offer,10500,test,cabrio,1983,manuell,26,601,10000,Jul,Gasoline,trabant,No,2016-03-30 00:00:00,15712,2016-04-07 09:44:35,2016,2016,March,March,33,5
2016-03-12 20:38:32,Trabant_1.1_Tramp,privat,Offer,8500,test,cabrio,1991,Unspecified,0,andere,50000,Apr,Gasoline,trabant,Other,2016-03-12 00:00:00,16766,2016-04-05 13:44:46,2016,2016,March,March,25,8
2016-03-16 11:44:54,Trabant_Kuebel,privat,Offer,2990,test,cabrio,1983,Unspecified,0,andere,10000,Mar,,trabant,No,2016-03-16 00:00:00,23923,2016-04-02 06:45:19,2016,2016,March,March,33,9
2016-03-30 12:52:38,Trabant_Andere,privat,Offer,13480,control,cabrio,1991,Unspecified,0,andere,20000,Jul,,trabant,No,2016-03-30 00:00:00,67434,2016-04-07 03:44:55,2016,2016,March,March,25,5
2016-03-24 16:56:47,Trabant_601__Cabrio__Oldtimer,privat,Offer,5500,control,cabrio,1983,Unspecified,26,601,10000,Aug,Gasoline,trabant,No,2016-03-24 00:00:00,15236,2016-04-07 10:17:26,2016,2016,March,March,33,4
2016-03-13 11:43:05,Trabant_601,privat,Offer,7500,control,cabrio,1989,manuell,26,601,50000,Jan,Gasoline,trabant,No,2016-03-13 00:00:00,15562,2016-04-06 15:17:24,2016,2016,March,March,27,11
2016-03-25 17:53:15,Trabi_Cabrio__guter_Zustand,privat,Offer,2999,test,cabrio,1983,manuell,0,601,100000,Jan,,trabant,Other,2016-03-25 00:00:00,52499,2016-03-30 09:15:53,2016,2016,March,March,33,11
2016-03-26 15:54:49,Trabant_Kuebel__sehr_gute_basis_und_komplett!,privat,Offer,2850,test,cabrio,1970,manuell,26,andere,40000,Feb,Gasoline,trabant,Other,2016-03-26 00:00:00,45128,2016-03-26 15:54:49,2016,2016,March,March,46,10
2016-03-17 10:50:41,Trabant_601,privat,Offer,5999,test,cabrio,1977,manuell,26,601,60000,Jul,Gasoline,trabant,No,2016-03-17 00:00:00,16816,2016-04-06 09:15:45,2016,2016,March,March,39,5
2016-03-22 08:56:21,Trabant_601_Kuebel,privat,Offer,5000,control,cabrio,1975,manuell,26,601,5000,Jun,Gasoline,trabant,No,2016-03-22 00:00:00,4275,2016-03-23 17:15:47,2016,2016,March,March,41,6
2016-04-03 17:46:43,Trabant_1.1_Tramp,privat,Offer,14500,test,cabrio,1993,manuell,41,andere,5000,May,Gasoline,trabant,No,2016-04-03 00:00:00,7368,2016-04-05 18:15:49,2016,2016,April,April,23,7
2016-03-28 15:39:14,Trabant_Cabrio_Ostermann,privat,Offer,2190,control,cabrio,1987,manuell,26,601,70000,May,Gasoline,trabant,Yes,2016-03-28 00:00:00,25569,2016-03-28 15:39:14,2016,2016,March,March,29,7
2016-03-14 08:55:48,Trabant_601_Cabrio_ostermanm,privat,Offer,500,test,cabrio,1980,manuell,26,601,5000,Mar,Gasoline,trabant,No,2016-03-14 00:00:00,16321,2016-04-07 07:15:27,2016,2016,March,March,36,9
2016-03-22 19:53:30,Verkaufe_Trabant_Cabrio_bj_89,privat,Offer,3500,test,cabrio,1989,manuell,0,andere,50000,Jan,,trabant,Other,2016-03-22 00:00:00,39615,2016-04-06 14:17:13,2016,2016,March,March,27,11
2016-04-05 11:52:35,Trabant_Trabant_601_A_Kuebel_Top_Zustand,privat,Offer,6990,test,cabrio,1981,manuell,26,601,30000,Jul,Gasoline,trabant,No,2016-04-05 00:00:00,2627,2016-04-05 11:52:35,2016,2016,April,April,35,5
2016-03-29 14:37:01,Trabant_Kuebel_Forst_unrestaurierter__ORIGINAL_Zustand,privat,Offer,11800,test,cabrio,1973,manuell,26,601,30000,Mar,Gasoline,trabant,No,2016-03-29 00:00:00,6846,2016-04-05 23:46:56,2016,2016,March,March,43,9
2016-03-07 11:48:57,Trabant_601_Cabrio,privat,Offer,3499,test,cabrio,1986,manuell,26,601,5000,Dec,Gasoline,trabant,No,2016-03-07 00:00:00,9244,2016-03-12 18:17:54,2016,2016,March,March,30,0
2016-03-29 18:41:12,Trabant_P_601_A,privat,Offer,4500,control,cabrio,1992,manuell,26,601,30000,Jul,Gasoline,trabant,No,2016-03-29 00:00:00,39606,2016-03-29 18:41:12,2016,2016,March,March,24,5
2016-04-02 08:37:41,Trabant_601,privat,Offer,4999,control,cabrio,1989,manuell,26,601,60000,Jun,Gasoline,trabant,No,2016-04-02 00:00:00,24148,2016-04-06 07:15:35,2016,2016,April,April,27,6
2016-04-02 07:58:12,Trabant_Cabrio_Ostermann_Umbau_kein_Kuebel,privat,Offer,4999,test,cabrio,1989,manuell,26,601,60000,Jun,,trabant,No,2016-04-02 00:00:00,24113,2016-04-06 07:15:36,2016,2016,April,April,27,6
